,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,1,0,major,0,rest,,,,,,,,1.0,0
1,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.25,2.0
2,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,2.5
3,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,3.0
4,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,3.5
5,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,G5,G,G,0.0,5,79.0,7.0,0.25,4.0
6,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,C6,C,C,0.0,6,84.0,0.0,0.25,4.5
7,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,E6,E,E,0.0,6,88.0,4.0,0.25,5.0
8,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.0625,2.0
9,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,B3,B,B,0.0,3,59.0,11.0,0.0625,2.125
10,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,C4,C,C,0.0,4,60.0,0.0,0.0625,2.25
11,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-Major-Op.-67-no.-1-Quasi-improvisazione_Hummel-Johann-Nepomuk_file1,2,,,,note,G3,G,G,0.0,3,55.0,7.0,0.0625,2.375
