,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.125,0
1,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,A4,A,A,0,4,69,9,0.0625,0.25
2,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.0625,0.375
3,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,Fx4,Fx,F,2,4,67,7,0.0625,0.5
4,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.0625,0.625
5,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0.75
6,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.0625,0.875
7,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,E#4,E#,E,1,4,65,5,0.0625,1.0
8,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.0625,1.125
9,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,E4,E,E,0,4,64,4,0.0625,1.25
10,..\data\scores\Hummel_JohannNepomuk\Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-C-sharp-Minor-Op.-67-no.-10-Energico_Hummel-Johann-Nepomuk_file1,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.0625,1.375
