,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Hummel_JohannNepomuk\Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1,1,-1,major,0,rest,,,,,,,,1.0,0
1,..\data\scores\Hummel_JohannNepomuk\Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1,2,,,,note,D4,D,D,0.0,4,62.0,2.0,0.0625,2.0
2,..\data\scores\Hummel_JohannNepomuk\Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1,2,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.0625,2.125
3,..\data\scores\Hummel_JohannNepomuk\Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.0625,2.25
4,..\data\scores\Hummel_JohannNepomuk\Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1,2,,,,note,D4,D,D,0.0,4,62.0,2.0,0.0625,2.375
5,..\data\scores\Hummel_JohannNepomuk\Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1,2,,,,note,F4,F,F,0.0,4,65.0,5.0,0.0625,2.5
6,..\data\scores\Hummel_JohannNepomuk\Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.0625,2.625
7,..\data\scores\Hummel_JohannNepomuk\Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1,2,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,2.75
8,..\data\scores\Hummel_JohannNepomuk\Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1,2,,,,note,F4,F,F,0.0,4,65.0,5.0,0.0625,2.875
9,..\data\scores\Hummel_JohannNepomuk\Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-D-Minor-Op.-67-no.-24-Allegro-spiritoso_Hummel-Johann-Nepomuk_file1,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.0625,3.0
