,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,C5,C,C,0,5,72,0,0.0,0
1,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,C6,C,C,0,6,84,0,0.25,0
2,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,C6,C,C,0,6,84,0,0.0625,0.5
3,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,Bb5,Bb,B,-1,5,82,10,0.0625,0.625
4,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,Ab5,Ab,A,-1,5,80,8,0.0625,0.75
5,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,G5,G,G,0,5,79,7,0.0625,0.875
6,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,F5,F,F,0,5,77,5,0.0625,1.0
7,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,E5,E,E,0,5,76,4,0.0625,1.125
8,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,F5,F,F,0,5,77,5,0.0625,1.25
9,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,Db5,Db,D,-1,5,73,1,0.0625,1.375
10,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,C5,C,C,0,5,72,0,0.0625,1.5
11,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,1.625
12,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,Ab4,Ab,A,-1,4,68,8,0.0625,1.75
13,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,1,-4,major,0,note,G4,G,G,0,4,67,7,0.0625,1.875
14,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,2,,,,note,F4,F,F,0,4,65,5,0.0625,2.0
15,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,2,,,,note,E4,E,E,0,4,64,4,0.0625,2.125
16,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,2,,,,note,F4,F,F,0,4,65,5,0.0625,2.25
17,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,2,,,,note,Db4,Db,D,-1,4,61,1,0.0625,2.375
18,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,2,,,,rest,,,,,,,,0.25,2.5
19,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,2,,,,rest,,,,,,,,0.5,3.0
20,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,3,,,,rest,,,,,,,,1.0,4.0
21,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,4,,,,rest,,,,,,,,0.25,6.0
22,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1.xml,Hummel_JohannNepomuk,Prelude-in-F-Minor-Op.-67-no.-18-Con-molto-fuoco_Hummel-Johann-Nepomuk_file1,4,,,,rest,,,,,,,,0.125,6.5
