,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4.xml,Hummel_JohannNepomuk,Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4,1,3,major,0,rest,,,,,,,,0.5,0
1,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4.xml,Hummel_JohannNepomuk,Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4,1,3,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.08333333333333333,1.0
2,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4.xml,Hummel_JohannNepomuk,Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4,1,3,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.08333333333333333,1.1666666666666667
3,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4.xml,Hummel_JohannNepomuk,Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4,1,3,major,0,note,D#4,D#,D,1.0,4,63.0,3.0,0.08333333333333333,1.3333333333333335
4,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4.xml,Hummel_JohannNepomuk,Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4,1,3,major,0,note,E#4,E#,E,1.0,4,65.0,5.0,0.08333333333333333,1.5000000000000002
5,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4.xml,Hummel_JohannNepomuk,Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4,1,3,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.08333333333333333,1.666666666666667
6,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4.xml,Hummel_JohannNepomuk,Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4,1,3,major,0,note,G#4,G#,G,1.0,4,68.0,8.0,0.08333333333333333,1.8333333333333337
7,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4.xml,Hummel_JohannNepomuk,Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4,2,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.08333333333333333,2.0000000000000004
8,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4.xml,Hummel_JohannNepomuk,Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4,2,,,,note,B#3,B#,B,1.0,3,48.0,0.0,0.08333333333333333,2.166666666666667
9,..\data\scores\Hummel_JohannNepomuk\Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4.xml,Hummel_JohannNepomuk,Prelude-in-F-sharp-Minor-Op.-67-no.-8-Allegro-molto-animato_Hummel-Johann-Nepomuk_file4,2,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.08333333333333333,2.3333333333333335
