,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,rest,,,,,,,,0.0625,0
1,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,D#4,D#,D,1.0,4,63.0,3.0,0.0625,0.125
2,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,G#4,G#,G,1.0,4,68.0,8.0,0.0625,0.25
3,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.0625,0.25
4,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,Fx4,Fx,F,2.0,4,67.0,7.0,0.0625,0.375
5,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,A#4,A#,A,1.0,4,70.0,10.0,0.0625,0.375
6,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,0.5
7,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.25,0.5
8,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,rest,,,,,,,,0.0625,1.0
9,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.0625,1.125
10,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,A#4,A#,A,1.0,4,70.0,10.0,0.0625,1.25
11,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.0625,1.25
12,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,Gx4,Gx,G,2.0,4,69.0,9.0,0.0625,1.375
13,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,B#4,B#,B,1.0,4,60.0,0.0,0.0625,1.375
14,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,A#4,A#,A,1.0,4,70.0,10.0,0.25,1.5
15,..\data\scores\Hummel_JohannNepomuk\Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-G-sharp-minor-Op.-67-no.-12-Allegro-moderato_Hummel-Johann-Nepomuk_file3,1,5,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.25,1.5
