,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,G3,G,G,0,3,55,7,0.125,0
1,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,Bb3,Bb,B,-1,3,58,10,0.0625,0.2777777777777778
2,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.2777777777777778
3,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,Bb3,Bb,B,-1,3,58,10,0.0625,0.4166666666666667
4,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.4166666666666667
5,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,Bb3,Bb,B,-1,3,58,10,0.125,0.5555555555555556
6,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,D4,D,D,0,4,62,2,0.125,0.5555555555555556
7,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,Bb2,Bb,B,-1,2,46,10,0.125,0.8333333333333334
8,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,D3,D,D,0,3,50,2,0.125,1.1111111111111112
9,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,Bb3,Bb,B,-1,3,58,10,0.125,1.3888888888888888
10,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,D4,D,D,0,4,62,2,0.125,1.3888888888888888
11,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,Bb3,Bb,B,-1,3,58,10,0.125,1.6666666666666665
12,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,Bb3,Bb,B,-1,3,58,10,0.125,1.9444444444444442
13,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,D4,D,D,0,4,62,2,0.125,1.9444444444444442
14,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,G1,G,G,0,1,31,7,0.125,-4.440892098500626e-16
15,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,G2,G,G,0,2,43,7,0.125,-4.440892098500626e-16
16,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,D3,D,D,0,3,50,2,0.0625,0.27777777777777735
17,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,G3,G,G,0,3,55,7,0.0625,0.27777777777777735
18,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,D3,D,D,0,3,50,2,0.0625,0.41666666666666624
19,..\data\scores\Rachmaninoff_Sergei\Prelude_No._5_in_G_Minor.mxl,Rachmaninoff_Sergei,Prelude_No._5_in_G_Minor,1,-2,major,0,note,G3,G,G,0,3,55,7,0.0625,0.41666666666666624
