,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,rest,,,,,,,,0.0625,0
1,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,D3,D,D,0.0,3,50.0,2.0,0.0625,0.125
2,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,F3,F,F,0.0,3,53.0,5.0,0.0625,0.25
3,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,0.375
4,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.0625,0.5
5,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,F3,F,F,0.0,3,53.0,5.0,0.0625,0.625
6,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,0.75
7,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.0625,0.875
8,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,rest,,,,,,,,0.0625,1.0
9,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.0625,1.125
10,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.0625,1.25
11,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.0625,1.375
12,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.0625,1.5
13,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.0625,1.625
14,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.0625,1.75
15,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.0625,1.875
16,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,Bb1,Bb,B,-1.0,1,34.0,10.0,0.25,0.0
17,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.25,0.0
18,..\data\scores\Lyapunov_SergeiMikhailovich\Prelude_S.Liapounow_Op.6.No.1.mxl,Lyapunov_SergeiMikhailovich,Prelude_S.Liapounow_Op.6.No.1,1,-2,major,0,note,F1,F,F,0.0,1,29.0,5.0,0.25,0.5
