,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,E4,E,E,0,4,64,4,0.25,0
1,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,A4,A,A,0,4,69,9,0.25,0
2,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,C5,C,C,0,5,72,0,0.25,0
3,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,E4,E,E,0,4,64,4,0.25,0.6
4,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,A4,A,A,0,4,69,9,0.25,0.6
5,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,C5,C,C,0,5,72,0,0.25,0.6
6,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,A2,A,A,0,2,45,9,0.0625,0.0
7,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,A3,A,A,0,3,57,9,0.0625,0.15
8,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,A3,A,A,0,3,57,9,0.0625,0.3
9,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,C4,C,C,0,4,60,0,0.0625,0.44999999999999996
10,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,A3,A,A,0,3,57,9,0.0625,0.6
11,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,A3,A,A,0,3,57,9,0.0625,0.75
12,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,A2,A,A,0,2,45,9,0.0625,0.9
13,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,1,0,major,0,note,A3,A,A,0,3,57,9,0.0625,1.05
14,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,D4,D,D,0,4,62,2,0.25,1.2
15,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,F4,F,F,0,4,65,5,0.25,1.2
16,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,B4,B,B,0,4,71,11,0.25,1.2
17,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,C4,C,C,0,4,60,0,0.25,1.7999999999999998
18,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,F4,F,F,0,4,65,5,0.25,1.7999999999999998
19,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,A4,A,A,0,4,69,9,0.25,1.7999999999999998
20,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,D2,D,D,0,2,38,2,0.0625,1.2
21,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,D3,D,D,0,3,50,2,0.0625,1.3499999999999999
22,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,D3,D,D,0,3,50,2,0.0625,1.4999999999999998
23,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,F3,F,F,0,3,53,5,0.0625,1.6499999999999997
24,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,D3,D,D,0,3,50,2,0.0625,1.7999999999999996
25,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,D3,D,D,0,3,50,2,0.0625,1.9499999999999995
26,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,D2,D,D,0,2,38,2,0.0625,2.0999999999999996
27,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,2,,,,note,D3,D,D,0,3,50,2,0.0625,2.2499999999999996
28,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,B3,B,B,0,3,59,11,0.25,2.3999999999999995
29,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,E4,E,E,0,4,64,4,0.25,2.3999999999999995
30,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,A4,A,A,0,4,69,9,0.25,2.3999999999999995
31,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,B3,B,B,0,3,59,11,0.25,2.9999999999999996
32,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,D4,D,D,0,4,62,2,0.25,2.9999999999999996
33,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,E4,E,E,0,4,64,4,0.25,2.9999999999999996
34,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,G#4,G#,G,1,4,68,8,0.25,2.9999999999999996
35,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,E2,E,E,0,2,40,4,0.0625,2.3999999999999995
36,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,E3,E,E,0,3,52,4,0.0625,2.5499999999999994
37,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,E3,E,E,0,3,52,4,0.0625,2.6999999999999993
38,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,B3,B,B,0,3,59,11,0.0625,2.849999999999999
39,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,E3,E,E,0,3,52,4,0.0625,2.999999999999999
40,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,E3,E,E,0,3,52,4,0.0625,3.149999999999999
41,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,E2,E,E,0,2,40,4,0.0625,3.299999999999999
42,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,3,,,,note,E3,E,E,0,3,52,4,0.0625,3.449999999999999
43,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,4,,,,note,C4,C,C,0,4,60,0,0.5,3.5999999999999988
44,..\data\scores\Rameau_JeanPhilippe\Rameau-_Gavotte_et_6_doubles_6e_double.mxl,Rameau_JeanPhilippe,Rameau-_Gavotte_et_6_doubles_6e_double,4,,,,note,E4,E,E,0,4,64,4,0.5,3.5999999999999988
