,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,1,3,major,0,note,A4,A,A,0,4,69,9,0.25,0
1,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,1,3,major,0,note,B4,B,B,0,4,71,11,0.125,0.6
2,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,2,,,,note,C#5,C#,C,1,5,73,1,0.25,0.8999999999999999
3,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,2,,,,note,D5,D,D,0,5,74,2,0.125,1.5
4,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,2,,,,note,B4,B,B,0,4,71,11,0.25,1.8
5,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,2,,,,note,C#5,C#,C,1,5,73,1,0.125,2.4
6,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,3,,,,note,A4,A,A,0,4,69,9,0.25,2.6999999999999997
7,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,3,,,,note,E4,E,E,0,4,64,4,0.125,3.3
8,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,3,,,,note,A4,A,A,0,4,69,9,0.25,3.5999999999999996
9,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,3,,,,note,B4,B,B,0,4,71,11,0.125,4.199999999999999
10,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,4,,,,note,C#5,C#,C,1,5,73,1,0.25,4.499999999999999
11,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.12_-_Duettino,4,,,,note,A4,A,A,0,4,69,9,0.125,5.099999999999999
