,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,1,1,major,0,rest,,,,,,,,0.25,0
1,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,2,,,,rest,,,,,,,,0.25,1.0
2,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,3,,,,rest,,,,,,,,0.25,2.0
3,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,4,,,,rest,,,,,,,,0.25,3.0
4,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,5,,,,rest,,,,,,,,0.25,4.0
5,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,6,,,,rest,,,,,,,,0.25,5.0
6,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,6,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,5.5
7,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,6,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,5.75
8,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,7,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,6.0
9,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,7,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,6.25
10,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,7,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,6.5
11,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,7,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,6.75
12,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,8,,,,note,G5,G,G,0.0,5,79.0,7.0,0.125,7.0
13,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.5_-_Betteley_der_Vogel,8,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,7.25
