,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,1,-2,major,0,note,G4,G,G,0,4,67,7,0.125,0
1,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,2,,,,note,D5,D,D,0,5,74,2,0.25,0.2727272727272727
2,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,2,,,,note,D5,D,D,0,5,74,2,0.125,0.8181818181818181
3,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,2,,,,note,C5,C,C,0,5,72,0,0.0,0
4,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,2,,,,note,D5,D,D,0,5,74,2,0.0,0
5,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,2,,,,note,Eb5,Eb,E,-1,5,75,3,0.25,1.0909090909090908
6,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,2,,,,note,C5,C,C,0,5,72,0,0.125,1.6363636363636362
7,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,3,,,,note,D5,D,D,0,5,74,2,0.375,1.909090909090909
8,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,2.727272727272727
9,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,3,,,,note,G4,G,G,0,4,67,7,0.125,3.2727272727272725
10,data\scores\Reichardt\Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein.mxl,Reichardt,Reichardt_Louise_-_Zwolf_Gesange_Op.3_No.8_-_Kaeuzlein,4,,,,note,A4,A,A,0,4,69,9,0.25,3.545454545454545
