,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,1,2,major,0,rest,,,,,,,,0.5,0
1,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,2,,,,rest,,,,,,,,0.25,1.3333333333333333
2,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,3,,,,rest,,,,,,,,0.25,2.6666666666666665
3,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,4,,,,rest,,,,,,,,0.125,4.0
4,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,4,,,,note,D6,D,D,0.0,6,86.0,2.0,0.125,4.333333333333333
5,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,4,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.125,4.666666666666666
6,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,4,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.125,4.999999999999999
7,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,5,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.03125,5.333333333333332
8,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,5,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.03125,5.416666666666665
9,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,5,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.0625,5.499999999999998
10,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,5,,,,note,D6,D,D,0.0,6,86.0,2.0,0.125,5.666666666666665
11,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,5,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.125,5.999999999999998
12,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,5,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.125,6.333333333333331
13,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,6,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.03125,6.666666666666664
14,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,6,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.03125,6.749999999999997
15,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,6,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.0625,6.83333333333333
16,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,6,,,,note,D6,D,D,0.0,6,86.0,2.0,0.125,6.999999999999997
17,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,6,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.125,7.33333333333333
18,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,6,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.0625,7.666666666666663
19,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,6,,,,note,G#6,G#,G,1.0,6,92.0,8.0,0.0,0
20,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,6,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.0625,7.83333333333333
21,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,7,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.125,7.999999999999997
22,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,7,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.0625,8.33333333333333
23,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,7,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.0,0
24,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,7,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.0625,8.499999999999996
25,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,7,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.125,8.666666666666663
26,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,7,,,,note,D6,D,D,0.0,6,86.0,2.0,0.0625,8.999999999999996
27,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,7,,,,note,C#6,C#,C,1.0,6,85.0,1.0,0.0625,9.166666666666663
28,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,8,,,,note,B5,B,B,0.0,5,83.0,11.0,0.0625,9.333333333333329
29,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,8,,,,note,C#6,C#,C,1.0,6,85.0,1.0,0.0625,9.499999999999995
30,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,8,,,,note,D6,D,D,0.0,6,86.0,2.0,0.125,9.66666666666666
31,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,8,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.125,9.999999999999995
32,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,8,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.125,10.333333333333329
33,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,9,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.03125,10.666666666666663
34,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,9,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.03125,10.749999999999996
35,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,9,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.0625,10.83333333333333
36,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,9,,,,note,D6,D,D,0.0,6,86.0,2.0,0.125,10.999999999999996
37,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,9,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.125,11.33333333333333
38,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,9,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.125,11.666666666666664
39,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,10,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.03125,11.999999999999998
40,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,10,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.03125,12.083333333333332
41,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,10,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.0625,12.166666666666666
42,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,10,,,,note,D6,D,D,0.0,6,86.0,2.0,0.125,12.333333333333332
43,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,10,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.125,12.666666666666666
44,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,10,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.0625,13.0
45,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,10,,,,note,G#6,G#,G,1.0,6,92.0,8.0,0.0,0
46,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,10,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.0625,13.166666666666666
47,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,11,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.125,13.333333333333332
48,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,11,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.0625,13.666666666666666
49,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,11,,,,note,F#6,F#,F,1.0,6,90.0,6.0,0.0,0
50,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,11,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.0625,13.833333333333332
51,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,11,,,,note,E#6,E#,E,1.0,6,89.0,5.0,0.125,13.999999999999998
52,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,11,,,,note,D6,D,D,0.0,6,86.0,2.0,0.0625,14.333333333333332
53,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,11,,,,note,C#6,C#,C,1.0,6,85.0,1.0,0.0625,14.499999999999998
54,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._3.mxl,Bartok_Bela,Romanian_Folk_Dance_No._3,12,,,,note,B5,B,B,0.0,5,83.0,11.0,0.125,14.666666666666664
