,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,1,0,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,2,,,,rest,,,,,,,,0.25,1.7999999999999998
2,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,3,,,,note,E5,E,E,0.0,5,76.0,4.0,0.5,3.5999999999999996
3,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,3,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,4.8
4,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,4,,,,note,G5,G,G,0.0,5,79.0,7.0,0.08333333333333333,5.3999999999999995
5,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,4,,,,note,F5,F,F,0.0,5,77.0,5.0,0.08333333333333333,5.6
6,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,4,,,,note,E5,E,E,0.0,5,76.0,4.0,0.08333333333333333,5.8
7,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,4,,,,note,D5,D,D,0.0,5,74.0,2.0,0.1875,6.0
8,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,4,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.0625,6.45
9,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,4,,,,note,D5,D,D,0.0,5,74.0,2.0,0.1875,6.6000000000000005
10,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,4,,,,note,E5,E,E,0.0,5,76.0,4.0,0.0625,7.050000000000001
11,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,5,,,,note,F5,F,F,0.0,5,77.0,5.0,0.08333333333333333,7.200000000000001
12,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,5,,,,note,E5,E,E,0.0,5,76.0,4.0,0.08333333333333333,7.400000000000001
13,..\data\scores\Bartok_Bela\Romanian_Folk_Dance_No._4.mxl,Bartok_Bela,Romanian_Folk_Dance_No._4,5,,,,note,D5,D,D,0.0,5,74.0,2.0,0.08333333333333333,7.600000000000001
