,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,1,,,,note,E4,E,E,0,4,64,4,2.0,0
1,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,2,,,,note,A3,A,A,0,3,57,9,1.0,4.0
2,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,2,,,,note,E4,E,E,0,4,64,4,1.0,6.0
3,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,3,,,,note,F4,F,F,0,4,65,5,1.0,8.0
4,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,3,,,,note,E4,E,E,0,4,64,4,0.5,10.0
5,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,3,,,,note,C4,C,C,0,4,60,0,0.5,11.0
6,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,4,,,,note,D4,D,D,0,4,62,2,1.0,12.0
7,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,4,,,,note,C4,C,C,0,4,60,0,1.0,14.0
8,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,5,,,,rest,,,,,,,,0.5,16.0
9,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,5,,,,note,F4,F,F,0,4,65,5,0.75,17.0
10,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,5,,,,note,G4,G,G,0,4,67,7,0.25,18.5
11,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,5,,,,note,A4,A,A,0,4,69,9,0.5,19.0
12,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,6,,,,note,Bb4,Bb,B,-1,4,70,10,0.5,20.0
13,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,6,,,,note,G4,G,G,0,4,67,7,0.5,21.0
14,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,6,,,,note,A4,A,A,0,4,69,9,1.0,22.0
15,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,7,,,,note,G4,G,G,0,4,67,7,0.75,24.0
16,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,7,,,,note,A4,A,A,0,4,69,9,0.25,25.5
17,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,7,,,,note,B4,B,B,0,4,71,11,0.75,26.0
18,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,7,,,,note,A4,A,A,0,4,69,9,0.125,27.5
19,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,7,,,,note,B4,B,B,0,4,71,11,0.125,27.75
20,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,8,,,,note,C5,C,C,0,5,72,0,0.5,28.0
21,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,8,,,,note,A4,A,A,0,4,69,9,0.5,29.0
22,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,8,,,,rest,,,,,,,,0.5,30.0
23,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,8,,,,note,G4,G,G,0,4,67,7,0.5,31.0
24,..\data\scores\Ockeghem_JeanDe\S-elle-m-amera_Ockeghem-Jean-de_file2.xml,Ockeghem_JeanDe,S-elle-m-amera_Ockeghem-Jean-de_file2,9,,,,note,A4,A,A,0,4,69,9,1.0,32.0
