,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,D5,D,D,0,5,74,2,0.08333333333333333,0
1,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,E5,E,E,0,5,76,4,0.08333333333333333,0.3448275862068966
2,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,E5,E,E,0,5,76,4,0.08333333333333333,0.6896551724137931
3,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,E5,E,E,0,5,76,4,0.25,1.0344827586206897
4,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,C5,C,C,0,5,72,0,0.08333333333333333,2.0689655172413794
5,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,D5,D,D,0,5,74,2,0.08333333333333333,2.413793103448276
6,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,C5,C,C,0,5,72,0,0.08333333333333333,2.7586206896551726
7,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,D5,D,D,0,5,74,2,0.08333333333333333,3.1034482758620694
8,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,C5,C,C,0,5,72,0,0.08333333333333333,3.448275862068966
9,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,D5,D,D,0,5,74,2,0.08333333333333333,3.793103448275863
10,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,Bb4,Bb,B,-1,4,70,10,0.08333333333333333,4.13793103448276
11,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,C5,C,C,0,5,72,0,0.08333333333333333,4.482758620689657
12,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,C5,C,C,0,5,72,0,0.08333333333333333,4.827586206896553
13,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,C5,C,C,0,5,72,0,0.25,5.17241379310345
14,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,A4,A,A,0,4,69,9,0.08333333333333333,6.20689655172414
15,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,Bb4,Bb,B,-1,4,70,10,0.08333333333333333,6.5517241379310365
16,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,A4,A,A,0,4,69,9,0.08333333333333333,6.896551724137933
17,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,Bb4,Bb,B,-1,4,70,10,0.08333333333333333,7.24137931034483
18,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,A4,A,A,0,4,69,9,0.08333333333333333,7.586206896551727
19,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,Bb4,Bb,B,-1,4,70,10,0.08333333333333333,7.931034482758624
20,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,rest,,,,,,,,0.25,1.7763568394002505e-15
21,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,D4,D,D,0,4,62,2,0.25,1.0344827586206915
22,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,G4,G,G,0,4,67,7,0.25,1.0344827586206915
23,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,C4,C,C,0,4,60,0,0.5,2.0689655172413812
24,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,F4,F,F,0,4,65,5,0.5,2.0689655172413812
25,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,rest,,,,,,,,0.25,4.137931034482761
26,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,D4,D,D,0,4,62,2,0.25,5.17241379310345
27,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,G4,G,G,0,4,67,7,0.25,5.17241379310345
28,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,C4,C,C,0,4,60,0,0.5,6.20689655172414
29,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,F4,F,F,0,4,65,5,0.5,6.20689655172414
30,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,rest,,,,,,,,0.25,1.7763568394002505e-15
31,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,Bb3,Bb,B,-1,3,58,10,0.25,1.0344827586206915
32,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,A3,A,A,0,3,57,9,0.5,2.0689655172413812
33,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,rest,,,,,,,,0.25,4.137931034482761
34,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,Bb3,Bb,B,-1,3,58,10,0.25,5.17241379310345
35,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,A3,A,A,0,3,57,9,0.5,6.20689655172414
36,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,G2,G,G,0,2,43,7,1.0,1.7763568394002505e-15
37,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,1,0,major,0,note,G2,G,G,0,2,43,7,1.0,4.137931034482761
38,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,2,,,,note,G4,G,G,0,4,67,7,0.08333333333333333,8.27586206896552
39,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,2,,,,note,B4,B,B,0,4,71,11,0.08333333333333333,8.620689655172416
40,..\data\scores\Satie_Erik\Satie_-_Gnossiennes_1.mxl,Satie_Erik,Satie_-_Gnossiennes_1,2,,,,note,B4,B,B,0,4,71,11,0.08333333333333333,8.965517241379313
