,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,A4,A,A,0,4,69,9,0.25,0
1,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,D5,D,D,0,5,74,2,0.25,0
2,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,F5,F,F,0,5,77,5,0.25,0
3,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,E5,E,E,0,5,76,4,0.125,0.5555555555555556
4,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,D5,D,D,0,5,74,2,0.0625,0.8333333333333334
5,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,C#5,C#,C,1,5,73,1,0.0625,0.9722222222222223
6,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,D3,D,D,0,3,50,2,0.25,0.0
7,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,A3,A,A,0,3,57,9,0.25,0.0
8,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,D4,D,D,0,4,62,2,0.25,0.0
9,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,A2,A,A,0,2,45,9,0.25,0.5555555555555556
10,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,E3,E,E,0,3,52,4,0.25,0.5555555555555556
11,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,1,-1,major,0,note,A3,A,A,0,3,57,9,0.25,0.5555555555555556
12,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,note,D5,D,D,0,5,74,2,0.125,1.1111111111111112
13,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,note,A4,A,A,0,4,69,9,0.125,1.3888888888888888
14,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.25,1.6666666666666665
15,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,rest,,,,,,,,0.125,1.6666666666666667
16,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,note,D4,D,D,0,4,62,2,0.125,1.9444444444444446
17,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,note,D3,D,D,0,3,50,2,0.25,1.1111111111111112
18,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,note,F3,F,F,0,3,53,5,0.25,1.1111111111111112
19,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,note,A3,A,A,0,3,57,9,0.25,1.1111111111111112
20,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,rest,,,,,,,,0.125,1.6666666666666667
21,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,note,G2,G,G,0,2,43,7,0.125,1.9444444444444446
22,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,note,D3,D,D,0,3,50,2,0.125,1.9444444444444446
23,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,2,,,,note,G3,G,G,0,3,55,7,0.125,1.9444444444444446
24,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,2.2222222222222223
25,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,3,,,,note,G4,G,G,0,4,67,7,0.0625,2.5
26,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,3,,,,note,F4,F,F,0,4,65,5,0.0625,2.638888888888889
27,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,3,,,,note,G4,G,G,0,4,67,7,0.125,2.7777777777777777
28,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,3,,,,note,A4,A,A,0,4,69,9,0.125,3.0555555555555554
29,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,3,,,,note,D4,D,D,0,4,62,2,0.25,2.222222222222222
30,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,3,,,,note,C#4,C#,C,1,4,61,1,0.25,2.7777777777777777
31,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,3,,,,note,A2,A,A,0,2,45,9,0.25,2.222222222222222
32,..\data\scores\Scarlatti_Domenico\Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition.mxl,Scarlatti_Domenico,Scarlatti_Sonata_K.64_Longo_58_-_IMSLP_Edition,3,,,,note,D3,D,D,0,3,50,2,0.25,2.222222222222222
