,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,1,-5,major,0,note,Bb3,Bb,B,-1,3,58,10,0.5,0
1,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,1,-5,major,0,note,A3,A,A,0,3,57,9,0.08333333333333333,0.4
2,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,1,-5,major,0,note,Bb3,Bb,B,-1,3,58,10,0.08333333333333333,0.4666666666666667
3,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,1,-5,major,0,note,Db4,Db,D,-1,4,61,1,0.08333333333333333,0.5333333333333333
4,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,1,-5,major,0,note,Bb2,Bb,B,-1,2,46,10,0.5,-1.1102230246251565e-16
5,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,1,-5,major,0,note,A2,A,A,0,2,45,9,0.08333333333333333,0.3999999999999999
6,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,1,-5,major,0,note,Bb2,Bb,B,-1,2,46,10,0.08333333333333333,0.46666666666666656
7,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,1,-5,major,0,note,Db3,Db,D,-1,3,49,1,0.08333333333333333,0.5333333333333332
8,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,2,,,,note,F4,F,F,0,4,65,5,0.25,0.5999999999999999
9,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,2,,,,rest,,,,,,,,0.25,0.7999999999999998
10,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,2,,,,note,A3,A,A,0,3,57,9,0.08333333333333333,0.9999999999999998
11,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,2,,,,note,Bb3,Bb,B,-1,3,58,10,0.08333333333333333,1.0666666666666664
12,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,2,,,,note,Db4,Db,D,-1,4,61,1,0.08333333333333333,1.133333333333333
13,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,2,,,,note,F3,F,F,0,3,53,5,0.25,0.5999999999999996
14,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,2,,,,rest,,,,,,,,0.25,0.7999999999999996
15,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,2,,,,note,A2,A,A,0,2,45,9,0.08333333333333333,0.9999999999999996
16,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,2,,,,note,Bb2,Bb,B,-1,2,46,10,0.08333333333333333,1.0666666666666662
17,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,2,,,,note,Db3,Db,D,-1,3,49,1,0.08333333333333333,1.1333333333333329
18,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,3,,,,note,F4,F,F,0,4,65,5,0.25,1.1999999999999995
19,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,3,,,,rest,,,,,,,,0.25,1.3999999999999995
20,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,3,,,,rest,,,,,,,,0.25,1.5999999999999994
21,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,3,,,,note,F3,F,F,0,3,53,5,0.25,1.1999999999999993
22,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,3,,,,rest,,,,,,,,0.25,1.3999999999999992
23,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,3,,,,rest,,,,,,,,0.25,1.5999999999999992
24,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,4,,,,rest,,,,,,,,0.25,1.7999999999999992
25,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,4,,,,rest,,,,,,,,0.25,1.7999999999999994
26,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,5,,,,note,Bb3,Bb,B,-1,3,58,10,0.25,2.3999999999999995
27,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,5,,,,rest,,,,,,,,0.25,2.5999999999999996
28,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,5,,,,rest,,,,,,,,0.25,2.8
29,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,5,,,,note,Bb1,Bb,B,-1,1,34,10,0.25,2.4
30,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,5,,,,note,Bb2,Bb,B,-1,2,46,10,0.25,2.4
31,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,5,,,,rest,,,,,,,,0.25,2.6
32,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,5,,,,rest,,,,,,,,0.25,2.8000000000000003
33,..\data\scores\Chopin_Frederic\Scherzo_No.2_F.Chopin_Op.31.mxl,Chopin_Frederic,Scherzo_No.2_F.Chopin_Op.31,6,,,,note,Bb5,Bb,B,-1,5,82,10,0.75,3.0000000000000004
