,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Cb6,Cb,C,-1,6,95,11,0.0625,0
1,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Eb6,Eb,E,-1,6,87,3,0.0625,0.125
2,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Cb6,Cb,C,-1,6,95,11,0.0625,0.25
3,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Ab5,Ab,A,-1,5,80,8,0.0625,0.375
4,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Ab5,Ab,A,-1,5,80,8,0.0625,0.5
5,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Cb6,Cb,C,-1,6,95,11,0.0625,0.625
6,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Ab5,Ab,A,-1,5,80,8,0.0625,0.75
7,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Eb5,Eb,E,-1,5,75,3,0.0625,0.875
8,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Eb5,Eb,E,-1,5,75,3,0.0625,1.0
9,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Ab5,Ab,A,-1,5,80,8,0.0625,1.125
10,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Eb5,Eb,E,-1,5,75,3,0.0625,1.25
11,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,1,-4,major,0,note,Cb5,Cb,C,-1,5,83,11,0.0625,1.375
12,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,2,,,,note,Cb5,Cb,C,-1,5,83,11,0.0625,1.5
13,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,2,,,,note,Eb5,Eb,E,-1,5,75,3,0.0625,1.625
14,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,2,,,,note,Cb5,Cb,C,-1,5,83,11,0.0625,1.75
15,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,2,,,,note,Ab4,Ab,A,-1,4,68,8,0.0625,1.875
16,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,2,,,,note,Ab4,Ab,A,-1,4,68,8,0.0625,2.0
17,data\scores\Schubert\Schubert_90_4.0_0.0.xml,Schubert,Schubert_90_4.0_0.0,2,,,,note,Cb5,Cb,C,-1,5,83,11,0.0625,2.125
