,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,1,-2,major,0,rest,,,,,,,,0.25,0
1,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,2,,,,rest,,,,,,,,0.25,2.0
2,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,3,,,,rest,,,,,,,,0.25,4.0
3,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,4,,,,rest,,,,,,,,0.25,6.0
4,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,5,,,,rest,,,,,,,,0.25,8.0
5,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,6,,,,rest,,,,,,,,0.25,10.0
6,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,7,,,,rest,,,,,,,,0.25,12.0
7,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,8,,,,rest,,,,,,,,0.25,14.0
8,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,9,,,,rest,,,,,,,,0.5,16.0
9,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,9,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,17.0
10,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,9,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,17.75
11,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,10,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,18.0
12,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,10,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,18.5
13,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,10,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,19.0
14,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,10,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,19.5
15,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,10,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,19.75
16,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,11,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,20.0
17,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,11,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,20.5
18,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,11,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,20.75
19,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,11,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.5,21.0
20,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,12,,,,rest,,,,,,,,0.5,22.0
21,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,12,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,23.0
22,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,12,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,23.5
23,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,12,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,23.75
24,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,13,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,24.0
25,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,13,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,24.5
26,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,13,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,25.0
27,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,13,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,25.5
28,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,13,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,25.75
29,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,14,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,26.0
30,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,14,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.0,0
31,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,14,,,,note,A4,A,A,0.0,4,69.0,9.0,0.0,0
32,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,14,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,26.5
33,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,14,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,26.75
34,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,14,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,27.0
35,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,14,,,,rest,,,,,,,,0.125,27.5
36,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,14,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,27.75
37,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,15,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,28.0
38,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,15,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,28.5
39,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.12_-_Pause,15,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,28.75
