,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe,1,5,major,0,rest,,,,,,,,0.25,0
1,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe,2,,,,rest,,,,,,,,0.25,1.9354901144842402
2,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe,3,,,,rest,,,,,,,,0.25,3.8709802289684805
3,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe,4,,,,rest,,,,,,,,0.25,5.8064703434527205
4,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe,4,,,,rest,,,,,,,,0.1875,6.774215400694841
5,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe,4,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,7.500024193626431
6,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe,5,,,,note,B4,B,B,0.0,4,71.0,11.0,0.1875,7.741960457936961
7,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe,5,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,8.467769250868551
8,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe,5,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.0625,8.709705515179081
9,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.17_-_Die_bose_Farbe,5,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,8.951641779489611
