,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,1,4,major,0,rest,,,,,,,,0.25,0
1,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,2,,,,rest,,,,,,,,0.25,0.8571404081702623
2,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,3,,,,rest,,,,,,,,0.25,4.285702040851311
3,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,4,,,,rest,,,,,,,,0.25,7.71426367353236
4,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,5,,,,rest,,,,,,,,0.5,11.14282530621341
5,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,5,,,,rest,,,,,,,,0.25,12.857106122553935
6,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,5,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,13.714246530724196
7,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,5,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,14.142816734809328
8,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,6,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,14.57138693889446
9,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,6,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,15.428527347064723
10,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,6,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,15.857097551149854
11,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,6,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,16.285667755234986
12,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,6,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,17.14280816340525
13,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,6,,,,note,E5,E,E,0.0,5,76.0,4.0,0.125,17.57137836749038
14,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,6,,,,rest,,,,,,,,0.25,14.57138693889446
15,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,6,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,15.428527347064723
16,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,6,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,15.857097551149854
17,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,6,,,,rest,,,,,,,,0.5,16.285667755234986
18,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,7,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.375,17.99994857157551
19,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,7,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,19.2856591838309
20,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,7,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,19.71422938791603
21,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,7,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,20.571369796086294
22,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,7,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,20.999940000171424
23,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,7,,,,rest,,,,,,,,0.75,17.999948571575505
24,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,7,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,20.57136979608629
25,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,7,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,20.99994000017142
26,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,8,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,21.42851020425655
27,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,8,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,22.285650612426814
28,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,8,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,22.714220816511943
29,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,8,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,23.142791020597073
30,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,8,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,23.999931428767336
31,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,8,,,,note,E5,E,E,0.0,5,76.0,4.0,0.125,24.428501632852466
32,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,8,,,,rest,,,,,,,,0.25,21.428510204256547
33,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,8,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,22.28565061242681
34,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,8,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,22.71422081651194
35,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,8,,,,rest,,,,,,,,0.5,23.14279102059707
36,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.125,24.857071836937592
37,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,F#5,F#,F,1.0,5,78.0,6.0,0.125,25.285642041022722
38,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.125,25.714212245107852
39,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,26.142782449192982
40,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,26.57135265327811
41,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,27.428493061448375
42,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,27.857063265533505
43,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.125,24.857071836937585
44,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,F#5,F#,F,1.0,5,78.0,6.0,0.125,25.285642041022715
45,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.125,25.714212245107845
46,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,26.142782449192975
47,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,26.571352653278105
48,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,rest,,,,,,,,0.125,27.428493061448368
49,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,27.857063265533498
50,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,rest,,,,,,,,0.75,24.85707183693758
51,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,9,,,,rest,,,,,,,,0.25,27.428493061448364
52,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,10,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,28.285633469618627
53,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,10,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,29.14277387778889
54,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,10,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,29.57134408187402
55,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,10,,,,note,B4,B,B,0.0,4,71.0,11.0,0.1875,29.99991428595915
56,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,10,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.0625,30.642769592086847
57,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,10,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,30.857054694129413
58,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,10,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,31.285624898214543
59,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,10,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,28.285633469618624
60,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,10,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,29.142773877788887
61,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,10,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,29.571344081874017
62,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,31.71419510229967
63,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.125,32.57133551046993
64,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,32.99990571455506
65,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.1875,33.428475918640196
66,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.0625,34.071331224767896
67,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,34.28561632681046
68,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,rest,,,,,,,,0.25,31.714195102299673
69,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.125,32.571335510469936
70,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,32.99990571455507
71,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,33.4284759186402
72,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,11,,,,rest,,,,,,,,0.25,34.28561632681046
73,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,12,,,,rest,,,,,,,,0.5,35.14275673498072
74,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,12,,,,rest,,,,,,,,0.25,36.85703755132125
75,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,12,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,37.71417795949151
76,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,12,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,38.14274816357664
77,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,12,,,,rest,,,,,,,,0.5,35.14275673498072
78,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,12,,,,rest,,,,,,,,0.5,36.85703755132125
79,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,13,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,38.571318367661775
80,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.20_-_Des_Baches_Wiegenlied,13,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,39.428458775832034
