,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend,1,0,major,0,rest,,,,,,,,0.25,0
1,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend,2,,,,rest,,,,,,,,0.25,1.44
2,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend,3,,,,rest,,,,,,,,0.25,2.88
3,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend,4,,,,rest,,,,,,,,0.25,4.32
4,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend,5,,,,rest,,,,,,,,0.25,5.76
5,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend,6,,,,rest,,,,,,,,0.25,7.199999999999999
6,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend,7,,,,rest,,,,,,,,0.25,8.639999999999999
7,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend,7,,,,rest,,,,,,,,0.125,9.12
8,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend,7,,,,rest,,,,,,,,0.125,9.36
9,data\scores\Schubert\Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend.mxl,Schubert,Schubert_Franz_-_Die_schone_Mullerin_D.795_No.5_-_Am_Feierabend,7,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,9.6
