,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,1,-4,major,0,rest,,,,,,,,0.25,0
1,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,2,,,,rest,,,,,,,,0.25,1.5
2,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,3,,,,rest,,,,,,,,0.25,3.0
3,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,4,,,,rest,,,,,,,,0.25,4.5
4,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,5,,,,rest,,,,,,,,0.25,6.0
5,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,6,,,,rest,,,,,,,,0.25,7.5
6,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,7,,,,rest,,,,,,,,0.25,9.0
7,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,7,,,,rest,,,,,,,,0.125,9.5
8,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,7,,,,rest,,,,,,,,0.25,9.75
9,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,7,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,10.25
10,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.10_-_Das_Fischermadchen,8,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,10.5
