,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,1,2,major,0,rest,,,,,,,,0.25,0
1,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,2,,,,rest,,,,,,,,0.25,2.571421224510787
2,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,3,,,,rest,,,,,,,,0.25,5.142842449021574
3,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,4,,,,rest,,,,,,,,0.25,7.71426367353236
4,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,5,,,,rest,,,,,,,,0.25,10.285684898043147
5,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,6,,,,rest,,,,,,,,0.25,12.857106122553933
6,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,7,,,,rest,,,,,,,,0.25,15.428527347064719
7,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,8,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,17.999948571575505
8,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,8,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,18.857088979745768
9,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,8,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,19.71422938791603
10,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,9,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.375,20.571369796086294
11,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.6_-_In_der_Ferne,9,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,21.857080408341687
