,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas,1,-2,major,0,rest,,,,,,,,0.25,0
1,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas,2,,,,rest,,,,,,,,0.25,2.0
2,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas,3,,,,rest,,,,,,,,0.25,4.0
3,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas,4,,,,rest,,,,,,,,0.25,6.0
4,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas,4,,,,rest,,,,,,,,0.25,6.666666666666667
5,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas,4,,,,rest,,,,,,,,0.1875,7.333333333333334
6,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas,4,,,,note,D4,D,D,0.0,4,62.0,2.0,0.0625,7.833333333333334
7,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.4375,8.0
8,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,9.166666666666666
9,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.8_-_Der_Atlas,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.1875,9.333333333333332
