,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild,1,-5,major,0,rest,,,,,,,,0.25,0
1,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild,2,,,,rest,,,,,,,,0.5,4.8
2,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild,2,,,,rest,,,,,,,,0.25,7.199999999999999
3,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild,2,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,8.399999999999999
4,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.375,9.599999999999998
5,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild,3,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.125,11.399999999999999
6,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild,3,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,11.999999999999998
7,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,13.199999999999998
8,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild,4,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,14.399999999999997
9,data\scores\Schubert\Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild.mxl,Schubert,Schubert_Franz_-_Schwanengesang_D.957_No.9_-_Ihr_Bild,4,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,16.799999999999997
