,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,1,0,major,0,rest,,,,,,,,0.25,0
1,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,2,,,,rest,,,,,,,,0.25,4.0
2,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,3,,,,rest,,,,,,,,0.25,8.0
3,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,4,,,,rest,,,,,,,,0.25,12.0
4,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,5,,,,rest,,,,,,,,0.25,16.0
5,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,6,,,,rest,,,,,,,,0.25,20.0
6,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,7,,,,note,A4,A,A,0.0,4,69.0,9.0,0.375,24.0
7,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,7,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,26.0
8,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,7,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,27.333333333333332
9,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,8,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,28.0
10,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,8,,,,note,C5,C,C,0.0,5,72.0,0.0,0.0625,29.333333333333332
11,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,8,,,,note,B4,B,B,0.0,4,71.0,11.0,0.0625,29.666666666666664
12,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,8,,,,note,A4,A,A,0.0,4,69.0,9.0,0.375,29.999999999999996
13,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,9,,,,note,B4,B,B,0.0,4,71.0,11.0,0.375,31.999999999999996
14,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,9,,,,note,C5,C,C,0.0,5,72.0,0.0,0.1875,34.0
15,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,9,,,,note,B4,B,B,0.0,4,71.0,11.0,0.0625,35.0
16,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,9,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,35.333333333333336
17,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,10,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,36.0
18,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,10,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,37.333333333333336
19,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,10,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,38.0
20,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,10,,,,rest,,,,,,,,0.125,39.333333333333336
21,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,11,,,,note,C5,C,C,0.0,5,72.0,0.0,0.375,40.0
22,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,11,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,42.0
23,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,11,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,43.333333333333336
24,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,12,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,44.0
25,data\scores\Schubert\Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt.mxl,Schubert,Schubert_Franz_-_Vier_Gesange_aus_Wilhelm_Meister_D.877_Op.62_No.4_-_Lied_der_Mignon_Nur_wer_die_Sehnsucht_kennt,12,,,,note,E5,E,E,0.0,5,76.0,4.0,0.0625,45.333333333333336
