,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,1,-3,major,0,rest,,,,,,,,0.0625,0
1,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,2,,,,rest,,,,,,,,0.25,0.125
2,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,3,,,,rest,,,,,,,,0.25,1.625
3,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,4,,,,rest,,,,,,,,0.25,3.125
4,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,5,,,,rest,,,,,,,,0.25,4.625
5,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,5,,,,rest,,,,,,,,0.25,5.125
6,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,5,,,,rest,,,,,,,,0.125,5.625
7,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,5,,,,note,C4,C,C,0.0,4,60.0,0.0,0.125,5.875
8,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,6,,,,note,C4,C,C,0.0,4,60.0,0.0,0.1875,6.125
9,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,6,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.0625,6.5
10,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,6,,,,note,G4,G,G,0.0,4,67.0,7.0,0.375,6.625
11,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,6,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,7.375
12,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.1875,7.625
13,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,7,,,,note,B4,B,B,0.0,4,71.0,11.0,0.0625,8.0
14,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,7,,,,note,D5,D,D,0.0,5,74.0,2.0,0.375,8.125
15,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,7,,,,note,B4,B,B,0.0,4,71.0,11.0,0.125,8.875
16,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,8,,,,note,F5,F,F,0.0,5,77.0,5.0,0.25,9.125
17,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,8,,,,note,F5,F,F,0.0,5,77.0,5.0,0.08333333333333333,9.625
18,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,8,,,,note,D5,D,D,0.0,5,74.0,2.0,0.08333333333333333,9.791666666666666
19,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,8,,,,note,B4,B,B,0.0,4,71.0,11.0,0.08333333333333333,9.958333333333332
20,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,8,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.08333333333333333,10.124999999999998
21,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,8,,,,note,G4,G,G,0.0,4,67.0,7.0,0.08333333333333333,10.291666666666664
22,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,8,,,,note,F4,F,F,0.0,4,65.0,5.0,0.08333333333333333,10.45833333333333
23,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,9,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.1875,10.624999999999996
24,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,9,,,,note,D4,D,D,0.0,4,62.0,2.0,0.0625,10.999999999999996
25,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,9,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,11.124999999999996
26,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,9,,,,rest,,,,,,,,0.25,11.624999999999996
27,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,10,,,,rest,,,,,,,,0.25,12.124999999999996
28,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,11,,,,rest,,,,,,,,0.25,13.624999999999996
29,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,11,,,,rest,,,,,,,,0.25,14.124999999999996
30,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,11,,,,rest,,,,,,,,0.125,14.624999999999996
31,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,11,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,14.874999999999996
32,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,12,,,,note,G4,G,G,0.0,4,67.0,7.0,0.375,15.124999999999996
33,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,12,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,15.874999999999996
34,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,12,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,16.124999999999996
35,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,12,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,16.374999999999996
36,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.14_-_Der_greise_Kopf,13,,,,note,B4,B,B,0.0,4,71.0,11.0,0.1875,16.624999999999996
