,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,1,3,major,0,rest,,,,,,,,0.25,0
1,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,2,,,,rest,,,,,,,,0.25,4.0
2,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,3,,,,rest,,,,,,,,0.25,8.0
3,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,4,,,,rest,,,,,,,,0.25,12.0
4,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,5,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.08333333333333333,16.0
5,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,5,,,,note,A4,A,A,0.0,4,69.0,9.0,0.08333333333333333,16.444444444444443
6,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,5,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.08333333333333333,16.888888888888886
7,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,5,,,,note,F#5,F#,F,1.0,5,78.0,6.0,0.375,17.33333333333333
8,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,5,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,19.33333333333333
9,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,6,,,,note,A4,A,A,0.0,4,69.0,9.0,0.08333333333333333,19.999999999999996
10,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,6,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.08333333333333333,20.44444444444444
11,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,6,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.08333333333333333,20.888888888888882
12,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,6,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.25,21.333333333333325
13,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,6,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,22.666666666666657
14,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,6,,,,rest,,,,,,,,0.125,23.333333333333325
15,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,7,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.1875,23.999999999999993
16,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,7,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.0625,24.999999999999993
17,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,7,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.1875,25.333333333333325
18,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,7,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.0625,26.333333333333325
19,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,7,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.08333333333333333,26.666666666666657
20,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,7,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.08333333333333333,27.1111111111111
21,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,7,,,,note,B4,B,B,0.0,4,71.0,11.0,0.08333333333333333,27.555555555555543
22,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,8,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,27.999999999999986
23,data\scores\Schubert\Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth.mxl,Schubert,Schubert_Franz_-_Winterreise_D.911_No.6_-_Wasserfluth,8,,,,rest,,,,,,,,0.25,30.666666666666654
