,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,1,3,major,0,note,E4,E,E,0,4,64,4,0.125,0
1,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,2,,,,note,C#5,C#,C,1,5,73,1,0.25,0.35714285714285715
2,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,2,,,,note,B4,B,B,0,4,71,11,0.25,1.0714285714285714
3,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,3,,,,note,D5,D,D,0,5,74,2,0.125,1.7857142857142856
4,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,3,,,,note,C#5,C#,C,1,5,73,1,0.125,2.142857142857143
5,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,3,,,,rest,,,,,,,,0.125,2.5
6,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,3,,,,note,A4,A,A,0,4,69,9,0.125,2.857142857142857
7,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,4,,,,note,F#5,F#,F,1,5,78,6,0.375,3.2142857142857144
8,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,4,,,,note,E5,E,E,0,5,76,4,0.125,4.285714285714286
9,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,5,,,,note,E5,E,E,0,5,76,4,0.375,4.642857142857142
10,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,5,,,,rest,,,,,,,,0.125,5.7142857142857135
11,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,6,,,,rest,,,,,,,,0.25,6.07142857142857
12,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,7,,,,rest,,,,,,,,0.25,7.499999999999999
13,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,7,,,,rest,,,,,,,,0.125,8.214285714285714
14,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,7,,,,note,E5,E,E,0,5,76,4,0.125,8.571428571428571
15,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,8,3,major,8.928571428571429,note,C#5,C#,C,1,5,73,1,0.125,8.928571428571429
16,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,8,3,major,8.928571428571429,note,G#4,G#,G,1,4,68,8,0.125,9.285714285714286
17,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.1_-_Was_weinst_du_Blumlein,8,3,major,8.928571428571429,note,A4,A,A,0,4,69,9,0.125,9.642857142857144
