,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,1,-1,major,0,rest,,,,,,,,0.25,0
1,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,2,,,,rest,,,,,,,,0.25,2.4
2,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,3,,,,rest,,,,,,,,0.25,4.8
3,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,4,,,,rest,,,,,,,,0.25,7.199999999999999
4,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,5,,,,rest,,,,,,,,0.25,9.6
5,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,6,,,,rest,,,,,,,,0.25,12.0
6,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,7,,,,rest,,,,,,,,0.25,14.4
7,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,8,,,,rest,,,,,,,,0.5,16.8
8,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,8,,,,rest,,,,,,,,0.25,18.0
9,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,8,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,18.6
10,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,9,,,,note,A4,A,A,0.0,4,69.0,9.0,0.375,19.200000000000003
11,data\scores\SchumannC\Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen.mxl,SchumannC,Schumann_Clara_-_6_Lieder_Op.23_No.2_-_An_einem_lichten_Morgen,9,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,20.1
