,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,1,4,major,0,rest,,,,,,,,0.25,0
1,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,2,,,,rest,,,,,,,,0.25,3.0000075000187505
2,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,3,,,,rest,,,,,,,,0.5,6.000015000037501
3,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,3,,,,rest,,,,,,,,0.25,7.500018750046876
4,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,3,,,,rest,,,,,,,,0.125,8.250020625051564
5,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,3,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,8.625021562553908
6,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,4,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.375,9.000022500056252
7,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,4,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,10.125025312563283
8,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,4,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.375,10.500026250065627
9,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,4,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,11.625029062572658
10,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,5,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.25,12.000030000075002
11,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,5,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.25,12.75003187507969
12,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,5,,,,rest,,,,,,,,0.25,13.500033750084379
13,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,5,,,,rest,,,,,,,,0.125,14.250035625089067
14,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,5,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,14.625036562591411
15,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,6,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.375,15.000037500093756
16,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,6,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,16.125040312600788
17,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,6,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.375,16.50004125010313
18,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,6,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,17.62504406261016
19,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,7,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,18.000045000112504
20,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,7,,,,rest,,,,,,,,0.25,19.50004875012188
21,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,7,,,,rest,,,,,,,,0.125,20.25005062512657
22,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,7,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,20.62505156262891
23,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,8,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.375,21.000052500131254
24,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,8,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,22.125055312638285
25,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,8,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.375,22.500056250140627
26,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,8,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,23.625059062647658
27,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,9,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.25,24.00006000015
28,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,9,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.25,24.75006187515469
29,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,9,,,,rest,,,,,,,,0.5,25.500063750159377
30,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,10,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,27.000067500168754
31,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,10,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,27.750069375173442
32,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,10,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,28.125070312675785
33,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,10,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.375,28.500071250178127
34,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,10,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,29.625074062685158
35,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,11,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,30.0000750001875
36,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,11,,,,rest,,,,,,,,0.25,31.500078750196877
37,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,11,,,,rest,,,,,,,,0.125,32.25008062520156
38,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,11,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,32.625081562703905
39,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,12,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.375,33.00008250020625
40,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,12,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,34.12508531271328
41,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,12,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.375,34.500086250215624
42,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,12,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.125,35.62508906272266
43,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,13,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,36.000090000225
44,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,13,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,36.750091875229685
45,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,13,,,,rest,,,,,,,,0.25,37.50009375023437
46,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,13,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,38.250095625239055
47,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,14,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.375,39.00009750024374
48,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,14,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.125,40.125100312750774
49,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,14,,,,note,Fx4,Fx,F,2.0,4,67.0,7.0,0.25,40.50010125025312
50,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,14,,,,note,Fx4,Fx,F,2.0,4,67.0,7.0,0.25,41.2501031252578
51,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,15,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.5,42.00010500026249
52,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,15,,,,rest,,,,,,,,0.25,43.50010875027186
53,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,15,,,,rest,,,,,,,,0.125,44.25011062527655
54,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.16_-_Die_alten_bosen_Lieder,15,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,44.62511156277889
