,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.125,0
1,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,2,,,,note,C#5,C#,C,1,5,73,1,0.1875,0.75
2,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,2,,,,note,C#5,C#,C,1,5,73,1,0.0625,1.875
3,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,2,,,,note,C#5,C#,C,1,5,73,1,0.125,2.25
4,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,2,,,,note,C#5,C#,C,1,5,73,1,0.125,3.0
5,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,3,,,,note,D5,D,D,0,5,74,2,0.25,3.75
6,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,3,,,,note,C#5,C#,C,1,5,73,1,0.125,5.25
7,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,3,,,,rest,,,,,,,,0.0625,6.0
8,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,3,,,,note,C#5,C#,C,1,5,73,1,0.0625,6.375
9,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,4,,,,note,B4,B,B,0,4,71,11,0.125,6.75
10,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,4,,,,note,B4,B,B,0,4,71,11,0.0625,7.5
11,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,4,,,,note,C#5,C#,C,1,5,73,1,0.0625,7.875
12,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,4,,,,note,A4,A,A,0,4,69,9,0.125,8.25
13,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,4,,,,note,A4,A,A,0,4,69,9,0.0625,9.0
14,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,4,,,,note,C#5,C#,C,1,5,73,1,0.0625,9.375
15,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,5,,,,note,B4,B,B,0,4,71,11,0.125,9.75
16,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,5,,,,rest,,,,,,,,0.125,10.5
17,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,5,,,,rest,,,,,,,,0.125,11.25
18,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,5,,,,note,C#5,C#,C,1,5,73,1,0.125,12.0
19,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,6,,,,note,C#5,C#,C,1,5,73,1,0.1875,12.75
20,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,6,,,,note,C#5,C#,C,1,5,73,1,0.0625,13.875
21,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,6,,,,note,C#5,C#,C,1,5,73,1,0.125,14.25
22,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,6,,,,note,C#5,C#,C,1,5,73,1,0.125,15.0
23,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,7,,,,note,D5,D,D,0,5,74,2,0.25,15.75
24,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,7,,,,note,C#5,C#,C,1,5,73,1,0.125,17.25
25,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,7,,,,rest,,,,,,,,0.0625,18.0
26,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.2_-_Aus_meinen_Thranen_spriessen,7,,,,note,C#5,C#,C,1,5,73,1,0.0625,18.375
