,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,1,2,major,0,note,A4,A,A,0,4,69,9,0.0625,0
1,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,2,,,,note,D5,D,D,0,5,74,2,0.125,0.1875004687511719
2,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,2,,,,note,C#5,C#,C,1,5,73,1,0.0625,0.5625014062535157
3,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,2,,,,note,C#5,C#,C,1,5,73,1,0.0625,0.7500018750046876
4,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,2,,,,note,B4,B,B,0,4,71,11,0.125,0.9375023437558595
5,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,2,,,,note,C#5,C#,C,1,5,73,1,0.0625,1.3125032812582034
6,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,2,,,,note,C#5,C#,C,1,5,73,1,0.0625,1.5000037500093752
7,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,3,,,,note,D5,D,D,0,5,74,2,0.125,1.6875042187605471
8,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,3,,,,note,C#5,C#,C,1,5,73,1,0.0625,2.062505156262891
9,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,3,,,,note,C#5,C#,C,1,5,73,1,0.0625,2.250005625014063
10,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,3,,,,note,B4,B,B,0,4,71,11,0.125,2.437506093765235
11,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,3,,,,note,C#5,C#,C,1,5,73,1,0.0625,2.812507031267579
12,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,3,,,,note,C#5,C#,C,1,5,73,1,0.0625,3.000007500018751
13,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.3_-_Die_Rose_die_Lilie_die_Taube,4,,,,note,D5,D,D,0,5,74,2,0.125,3.187507968769923
