,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0
1,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen,2,,,,note,B4,B,B,0,4,71,11,0.125,0.3
2,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen,2,,,,note,B4,B,B,0,4,71,11,0.0625,0.8999999999999999
3,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen,2,,,,note,B4,B,B,0,4,71,11,0.0625,1.2
4,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen,2,,,,note,A#4,A#,A,1,4,70,10,0.125,1.5
5,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen,2,,,,note,B4,B,B,0,4,71,11,0.0625,2.1
6,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen,2,,,,note,C#5,C#,C,1,5,73,1,0.0625,2.4
7,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen,3,,,,note,D5,D,D,0,5,74,2,0.25,2.6999999999999997
8,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen,3,,,,note,B4,B,B,0,4,71,11,0.125,3.8999999999999995
9,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.5_-_Ich_will_meine_Seele_tauchen,3,,,,note,B4,B,B,0,4,71,11,0.0625,4.499999999999999
