,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,1,-2,major,0,rest,,,,,,,,0.125,0
1,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,2,,,,rest,,,,,,,,0.25,0.3750009375023438
2,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,3,,,,rest,,,,,,,,0.25,1.5000037500093752
3,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,4,,,,rest,,,,,,,,0.25,2.6250065625164067
4,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,5,,,,rest,,,,,,,,0.125,3.7500093750234385
5,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,5,,,,rest,,,,,,,,0.125,4.125010312525783
6,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,5,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,4.500011250028127
7,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,6,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,4.875012187530471
8,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,6,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,5.625014062535159
9,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,7,,,,note,D5,D,D,0.0,5,74.0,2.0,0.1875,6.000015000037503
10,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,7,,,,note,D5,D,D,0.0,5,74.0,2.0,0.0625,6.562516406291018
11,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,7,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,6.75001687504219
12,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,8,,,,note,F5,F,F,0.0,5,77.0,5.0,0.375,7.1250178125445345
13,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,9,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.25,8.250020625051565
14,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,9,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,9.000022500056254
15,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,10,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,9.375023437558598
16,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,10,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,10.125025312563286
17,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,11,,,,note,D5,D,D,0.0,5,74.0,2.0,0.1875,10.50002625006563
18,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,11,,,,note,D5,D,D,0.0,5,74.0,2.0,0.0625,11.062527656319146
19,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,11,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,11.250028125070317
20,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,12,,,,note,C5,C,C,0.0,5,72.0,0.0,0.375,11.625029062572661
21,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,13,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,12.750031875079692
22,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,13,,,,rest,,,,,,,,0.125,13.125032812582036
23,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,13,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,13.50003375008438
24,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,14,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,13.875034687586725
25,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,14,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,14.625036562591413
26,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,15,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.1875,15.000037500093757
27,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,15,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.0625,15.562538906347273
28,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,15,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,15.750039375098444
29,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,16,,,,note,C4,C,C,0.0,4,60.0,0.0,0.375,16.125040312600788
30,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,17,,,,rest,,,,,,,,0.25,17.25004312510782
31,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,18,,,,rest,,,,,,,,0.25,18.37504593761485
32,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,19,,,,rest,,,,,,,,0.25,19.50004875012188
33,data\scores\SchumannR\Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen.mxl,SchumannR,Schumann_Robert_-_Dichterliebe_Op.48_No.9_-_Das_ist_ein_Floten_und_Geigen,20,,,,rest,,,,,,,,0.25,20.62505156262891
