,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,1,4,major,0,rest,,,,,,,,0.25,0
1,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,2,,,,rest,,,,,,,,0.25,1.3235294117647058
2,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,3,,,,rest,,,,,,,,0.25,2.6470588235294117
3,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,4,,,,rest,,,,,,,,0.25,3.9705882352941178
4,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,5,,,,rest,,,,,,,,0.25,5.294117647058823
5,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,5,,,,rest,,,,,,,,0.125,5.735294117647059
6,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,5,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,5.955882352941177
7,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,5,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.1875,6.176470588235294
8,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,5,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.0625,6.507352941176471
9,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,6,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,6.61764705882353
10,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,6,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,7.058823529411765
11,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,6,,,,rest,,,,,,,,0.25,7.500000000000001
12,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,7,,,,rest,,,,,,,,0.25,7.941176470588236
13,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,7,,,,rest,,,,,,,,0.125,8.382352941176471
14,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,7,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,8.602941176470589
15,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,7,,,,note,E4,E,E,0.0,4,64.0,4.0,0.1875,8.823529411764707
16,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,7,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.0625,9.154411764705882
17,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,8,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,9.26470588235294
18,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,8,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,9.705882352941176
19,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,8,,,,rest,,,,,,,,0.125,10.147058823529411
20,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,8,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,10.367647058823529
21,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,9,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.5,10.588235294117647
22,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,9,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.25,11.470588235294118
23,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,10,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.375,11.911764705882353
24,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,10,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.125,12.573529411764707
25,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,10,,,,note,B#4,B#,B,1.0,4,60.0,0.0,0.125,12.794117647058824
26,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,10,,,,note,Cx5,Cx,C,2.0,5,74.0,2.0,0.125,13.014705882352942
27,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,11,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.25,13.23529411764706
28,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,11,,,,rest,,,,,,,,0.125,13.676470588235295
29,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,11,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.125,13.897058823529413
30,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,11,,,,note,B#4,B#,B,1.0,4,60.0,0.0,0.08333333333333333,14.11764705882353
31,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,11,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.08333333333333333,14.264705882352942
32,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,11,,,,note,B#4,B#,B,1.0,4,60.0,0.0,0.08333333333333333,14.411764705882353
33,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,12,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.25,14.558823529411764
34,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,12,,,,rest,,,,,,,,0.125,15.0
35,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,12,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,15.220588235294118
36,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,12,,,,note,B4,B,B,0.0,4,71.0,11.0,0.0,0
37,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,12,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.08333333333333333,15.441176470588236
38,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,12,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.08333333333333333,15.588235294117647
39,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,12,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.08333333333333333,15.735294117647058
40,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,13,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,15.88235294117647
41,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,13,,,,rest,,,,,,,,0.25,16.323529411764703
42,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,13,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,16.76470588235294
43,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,14,,,,note,E5,E,E,0.0,5,76.0,4.0,0.1875,17.205882352941174
44,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,14,,,,note,B4,B,B,0.0,4,71.0,11.0,0.0625,17.53676470588235
45,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.3_-_Waldesgesprach,14,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.125,17.64705882352941
