,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,1,1,major,0,note,B4,B,B,0,4,71,11,0.125,0
1,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,2,,,,note,B4,B,B,0,4,71,11,0.125,0.3750009375023438
2,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,2,,,,rest,,,,,,,,0.125,0.7500018750046876
3,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,2,,,,note,A#4,A#,A,1,4,70,10,0.125,1.1250028125070315
4,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,2,,,,note,B4,B,B,0,4,71,11,0.1875,1.5000037500093752
5,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,2,,,,note,B4,B,B,0,4,71,11,0.0625,2.062505156262891
6,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,2,,,,note,A#4,A#,A,1,4,70,10,0.125,2.250005625014063
7,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,3,,,,note,B4,B,B,0,4,71,11,0.375,2.6250065625164067
8,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,3,,,,note,G4,G,G,0,4,67,7,0.25,3.7500093750234385
9,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,3,,,,rest,,,,,,,,0.125,4.500011250028126
10,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,4,,,,note,G4,G,G,0,4,67,7,0.125,4.87501218753047
11,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,4,,,,note,G4,G,G,0,4,67,7,0.125,5.250013125032814
12,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,4,,,,note,G4,G,G,0,4,67,7,0.125,5.625014062535159
13,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,4,,,,note,D5,D,D,0,5,74,2,0.1875,6.000015000037503
14,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,4,,,,note,D5,D,D,0,5,74,2,0.0625,6.562516406291018
15,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,4,,,,note,D5,D,D,0,5,74,2,0.125,6.75001687504219
16,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,5,,,,note,B4,B,B,0,4,71,11,0.25,7.1250178125445345
17,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,5,,,,rest,,,,,,,,0.125,7.875019687549222
18,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,5,,,,rest,,,,,,,,0.25,8.250020625051565
19,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,5,,,,note,B4,B,B,0,4,71,11,0.125,9.000022500056254
20,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,6,,,,note,B4,B,B,0,4,71,11,0.1875,9.375023437558598
21,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,6,,,,note,B4,B,B,0,4,71,11,0.0625,9.937524843812113
22,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,6,,,,note,A#4,A#,A,1,4,70,10,0.125,10.125025312563285
23,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,6,,,,note,B4,B,B,0,4,71,11,0.125,10.500026250065629
24,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,6,,,,note,B4,B,B,0,4,71,11,0.125,10.875027187567973
25,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,6,,,,note,A#4,A#,A,1,4,70,10,0.125,11.250028125070317
26,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,7,,,,note,B4,B,B,0,4,71,11,0.375,11.625029062572661
27,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,7,,,,note,E5,E,E,0,5,76,4,0.25,12.750031875079692
28,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,7,,,,note,E5,E,E,0,5,76,4,0.125,13.50003375008438
29,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,8,,,,note,D5,D,D,0,5,74,2,0.125,13.875034687586725
30,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,8,,,,note,B4,B,B,0,4,71,11,0.125,14.250035625089069
31,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,8,,,,note,G#4,G#,G,1,4,68,8,0.125,14.625036562591413
32,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,8,,,,note,A4,A,A,0,4,69,9,0.125,15.000037500093757
33,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,8,,,,note,G4,G,G,0,4,67,7,0.125,15.375038437596102
34,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,8,,,,note,E4,E,E,0,4,64,4,0.125,15.750039375098446
35,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,9,,,,note,D4,D,D,0,4,62,2,0.125,16.125040312600788
36,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,9,,,,rest,,,,,,,,0.125,16.50004125010313
37,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,9,,,,rest,,,,,,,,0.125,16.875042187605473
38,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,9,,,,rest,,,,,,,,0.25,17.250043125107815
39,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,9,,,,note,G#4,G#,G,1,4,68,8,0.125,18.000045000112504
40,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,10,,,,note,A4,A,A,0,4,69,9,0.125,18.375045937614846
41,data\scores\SchumannR\Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille.mxl,SchumannR,Schumann_Robert_-_Liederkreis_Op.39_No.4_-_Die_Stille,10,,,,note,A4,A,A,0,4,69,9,0.125,18.75004687511719
