,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,C4,C,C,0,4,60,0,0.08333333333333333,0
1,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,F4,F,F,0,4,65,5,0.08333333333333333,0.16666666666666666
2,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,D5,D,D,0,5,74,2,0.03125,0.3333333333333333
3,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,E5,E,E,0,5,76,4,0.03125,0.3885416666666666
4,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,D5,D,D,0,5,74,2,0.03125,0.4437499999999999
5,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,C5,C,C,0,5,72,0,0.08333333333333333,0.4999999999999999
6,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,F5,F,F,0,5,77,5,0.08333333333333333,0.6666666666666665
7,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,D5,D,D,0,5,74,2,0.08333333333333333,0.8333333333333331
8,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,A5,A,A,0,5,81,9,0.08333333333333333,0.9999999999999998
9,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,G5,G,G,0,5,79,7,0.08333333333333333,1.1666666666666665
10,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,D5,D,D,0,5,74,2,0.08333333333333333,1.3333333333333333
11,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,F2,F,F,0,2,41,5,0.1875,0.0
12,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,C3,C,C,0,3,48,0,0.0625,0.375
13,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,F4,F,F,0,4,65,5,0.5,0.5
14,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,A3,A,A,0,3,57,9,0.25,0.5
15,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,1,-1,major,0,note,Bb3,Bb,B,-1,3,58,10,0.25,1.0
16,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,C5,C,C,0,5,72,0,0.08333333333333333,1.5
17,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,F5,F,F,0,5,77,5,0.08333333333333333,1.6666666666666667
18,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,D6,D,D,0,6,86,2,0.08333333333333333,1.8333333333333335
19,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,C6,C,C,0,6,84,0,0.08333333333333333,2.0
20,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,F5,F,F,0,5,77,5,0.08333333333333333,2.1666666666666665
21,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,D5,D,D,0,5,74,2,0.08333333333333333,2.333333333333333
22,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,A5,A,A,0,5,81,9,0.08333333333333333,2.4999999999999996
23,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,C5,C,C,0,5,72,0,0.08333333333333333,2.666666666666666
24,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,F4,F,F,0,4,65,5,0.08333333333333333,2.8333333333333326
25,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,A3,A,A,0,3,57,9,0.25,1.4999999999999991
26,..\data\scores\Scriabin_Alexander\Scriabin_11_23.xml,Scriabin_Alexander,Scriabin_11_23,2,,,,note,F4,F,F,0,4,65,5,0.25,1.4999999999999991
