,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,1,1,major,0,rest,,,,,,,,1.5,0
1,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,1,1,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.16666666666666666,3.0
2,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,1,1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.16666666666666666,3.3333333333333335
3,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,1,1,major,0,note,G#4,G#,G,1.0,4,68.0,8.0,0.16666666666666666,3.666666666666667
4,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,1,1,major,0,rest,,,,,,,,1.5,0.0
5,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,1,1,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,3.0
6,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,B4,B,B,0.0,4,71.0,11.0,0.16666666666666666,4.0
7,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.16666666666666666,4.333333333333333
8,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.16666666666666666,4.666666666666666
9,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.5,4.999999999999999
10,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.16666666666666666,5.999999999999999
11,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,G4,G,G,0.0,4,67.0,7.0,0.16666666666666666,6.333333333333332
12,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,F4,F,F,0.0,4,65.0,5.0,0.16666666666666666,6.666666666666665
13,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,rest,,,,,,,,0.5,6.999999999999998
14,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,D4,D,D,0.0,4,62.0,2.0,0.5,3.9999999999999982
15,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,D4,D,D,0.0,4,62.0,2.0,1.0,4.999999999999998
16,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,C5,C,C,0.0,5,72.0,0.0,1.0,4.999999999999998
17,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,2,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.5,6.999999999999998
18,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.3333333333333333,7.999999999999998
19,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,Db4,Db,D,-1.0,4,61.0,1.0,0.3333333333333333,7.999999999999998
20,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.3333333333333333,7.999999999999998
21,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,G4,G,G,0.0,4,67.0,7.0,0.16666666666666666,8.666666666666664
22,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.5,8.999999999999998
23,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.4375,9.999999999999998
24,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.0625,10.874999999999998
25,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,C4,C,C,0.0,4,60.0,0.0,0.3333333333333333,10.999999999999998
26,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.3333333333333333,10.999999999999998
27,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,G4,G,G,0.0,4,67.0,7.0,0.3333333333333333,10.999999999999998
28,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.16666666666666666,11.666666666666664
29,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,rest,,,,,,,,0.5,7.999999999999998
30,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,Db4,Db,D,-1.0,4,61.0,1.0,0.16666666666666666,8.999999999999998
31,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.16666666666666666,9.333333333333332
32,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.16666666666666666,9.666666666666666
33,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.5,10.0
34,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,rest,,,,,,,,0.5,11.0
35,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,rest,,,,,,,,0.5,8.0
36,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,note,C4,C,C,0.0,4,60.0,0.0,1.0,9.0
37,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,3,,,,rest,,,,,,,,0.5,11.0
38,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,4,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,12.0
39,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,4,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,13.0
40,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,4,,,,rest,,,,,,,,0.5,14.0
41,..\data\scores\Scriabin_Alexander\Scriabin_39_3.mxl,Scriabin_Alexander,Scriabin_39_3,4,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.16666666666666666,15.0
