,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,E4,E,E,0,4,64,4,0.25,0
1,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.25,0
2,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,E5,E,E,0,5,76,4,0.25,0.4166666666666667
3,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,D#4,D#,D,1,4,63,3,0.25,0.8333333333333334
4,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.25,0.8333333333333334
5,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,D#5,D#,D,1,5,75,3,0.25,1.25
6,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,C#4,C#,C,1,4,61,1,0.125,0.0
7,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,B3,B,B,0,3,59,11,0.125,0.20833333333333334
8,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,A4,A,A,0,4,69,9,0.125,0.4166666666666667
9,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,A5,A,A,0,5,81,9,0.125,0.4166666666666667
10,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.125,0.625
11,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,G#5,G#,G,1,5,80,8,0.125,0.625
12,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,B3,B,B,0,3,59,11,0.125,0.8333333333333334
13,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,A3,A,A,0,3,57,9,0.125,1.0416666666666667
14,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,G#4,G#,G,1,4,68,8,0.125,1.25
15,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,G#5,G#,G,1,5,80,8,0.125,1.25
16,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,F#4,F#,F,1,4,66,6,0.125,1.4583333333333333
17,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,F#5,F#,F,1,5,78,6,0.125,1.4583333333333333
18,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,E2,E,E,0,2,40,4,0.25,-2.220446049250313e-16
19,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,B2,B,B,0,2,47,11,0.25,-2.220446049250313e-16
20,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,B3,B,B,0,3,59,11,0.25,0.41666666666666646
21,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,E4,E,E,0,4,64,4,0.25,0.41666666666666646
22,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,B4,B,B,0,4,71,11,0.25,0.41666666666666646
23,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,B1,B,B,0,1,35,11,0.25,0.8333333333333331
24,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,B2,B,B,0,2,47,11,0.25,0.8333333333333331
25,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,A3,A,A,0,3,57,9,0.25,1.2499999999999998
26,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,D#4,D#,D,1,4,63,3,0.25,1.2499999999999998
27,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,1,4,major,0,note,B4,B,B,0,4,71,11,0.25,1.2499999999999998
28,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,G#3,G#,G,1,3,56,8,0.125,1.6666666666666665
29,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,E4,E,E,0,4,64,4,0.125,1.6666666666666665
30,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,G#4,G#,G,1,4,68,8,0.125,1.6666666666666665
31,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,E4,E,E,0,4,64,4,0.125,1.8749999999999998
32,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,E5,E,E,0,5,76,4,0.125,1.8749999999999998
33,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,G#4,G#,G,1,4,68,8,0.125,2.083333333333333
34,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,G#5,G#,G,1,5,80,8,0.125,2.083333333333333
35,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,D#4,D#,D,1,4,63,3,0.125,2.2916666666666665
36,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,D#5,D#,D,1,5,75,3,0.125,2.2916666666666665
37,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,G#4,G#,G,1,4,68,8,0.125,2.5
38,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,G#5,G#,G,1,5,80,8,0.125,2.5
39,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,C#4,C#,C,1,4,61,1,0.125,2.7083333333333335
40,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,C#5,C#,C,1,5,73,1,0.125,2.7083333333333335
41,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,D#4,D#,D,1,4,63,3,0.125,2.916666666666667
42,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,D#5,D#,D,1,5,75,3,0.125,2.916666666666667
43,data\scores\Scriabin\Scriabin_op8_Twelve Etudes - V.xml,Scriabin,Scriabin_op8_Twelve Etudes - V,2,,,,note,E4,E,E,0,4,64,4,0.125,3.1250000000000004
