,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,1,-1,major,0,rest,,,,,,,,0.5,0
1,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,1,-1,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.5,1.0
2,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,2.0
3,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,3.0
4,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,3,,,,note,C5,C,C,0.0,5,72.0,0.0,0.5,4.0
5,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.5,5.0
6,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,4,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,6.0
7,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,4,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,6.5
8,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,4,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,7.0
9,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,5,,,,rest,,,,,,,,0.25,8.0
10,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,5,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,8.5
11,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,5,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,9.0
12,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,5,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,9.5
13,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,6,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,10.0
14,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,6,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.5,11.0
15,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,12.0
16,..\data\scores\Victoria_TomasLuisde\Sepulto-Domino_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,Sepulto-Domino_Victoria-Tomas-Luis-de_file1,7,,,,note,F4,F,F,0.0,4,65.0,5.0,0.5,13.0
