,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,1,2,major,0,rest,,,,,,,,0.125,0
1,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,1,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.125,0.25
2,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,1,2,major,0,rest,,,,,,,,0.125,0.4880952380952381
3,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,1,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.125,0.7261904761904762
4,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,1,2,major,0,rest,,,,,,,,0.125,0.9642857142857142
5,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,1,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.125,1.2023809523809523
6,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,1,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.25,0.011904761904762085
7,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,1,2,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.25,0.48809523809523825
8,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,1,2,major,0,note,F#3,F#,F,1.0,3,54.0,6.0,0.25,0.9642857142857144
9,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,2,,,,rest,,,,,,,,0.125,1.4404761904761907
10,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,2,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,1.6785714285714288
11,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,2,,,,rest,,,,,,,,0.125,1.916666666666667
12,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,2,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,2.154761904761905
13,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,2,,,,rest,,,,,,,,0.125,2.3928571428571432
14,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,2,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,2.6309523809523814
15,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,2,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,1.4404761904761911
16,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,1.9166666666666674
17,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,2,,,,note,F#3,F#,F,1.0,3,54.0,6.0,0.25,2.3928571428571437
18,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,3,,,,rest,,,,,,,,0.125,2.86904761904762
19,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,3,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,3.107142857142858
20,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,3,,,,rest,,,,,,,,0.125,3.3452380952380962
21,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,3,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,3.5833333333333344
22,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,3,,,,rest,,,,,,,,0.125,3.8214285714285725
23,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,3,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,4.05952380952381
24,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,3,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,2.86904761904762
25,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,3,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,3.3452380952380962
26,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,3,,,,note,F#3,F#,F,1.0,3,54.0,6.0,0.25,3.8214285714285725
27,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,4,,,,rest,,,,,,,,0.125,4.297619047619048
28,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,4,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,4.5357142857142865
29,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,4,,,,rest,,,,,,,,0.125,4.773809523809525
30,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,4,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,5.011904761904763
31,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,4,,,,rest,,,,,,,,0.125,5.250000000000001
32,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,4,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,5.488095238095239
33,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,4,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,4.297619047619049
34,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,4,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,4.7738095238095255
35,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,4,,,,note,F#3,F#,F,1.0,3,54.0,6.0,0.25,5.250000000000002
36,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,5.726190476190478
37,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,6.202380952380954
38,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,rest,,,,,,,,0.125,5.726190476190478
39,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,5.964285714285716
40,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,5.964285714285716
41,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,rest,,,,,,,,0.125,6.202380952380954
42,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,6.4404761904761925
43,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,6.4404761904761925
44,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,rest,,,,,,,,0.125,6.678571428571431
45,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,6.916666666666669
46,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,6.916666666666669
47,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,D2,D,D,0.0,2,38.0,2.0,0.25,5.726190476190478
48,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,A2,A,A,0.0,2,45.0,9.0,0.25,6.202380952380954
49,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,5,,,,note,F#3,F#,F,1.0,3,54.0,6.0,0.25,6.678571428571431
50,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,G4,G,G,0.0,4,67.0,7.0,0.125,7.154761904761907
51,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,A4,A,A,0.0,4,69.0,9.0,0.125,7.392857142857145
52,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,B4,B,B,0.0,4,71.0,11.0,0.25,7.630952380952383
53,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,B4,B,B,0.0,4,71.0,11.0,0.25,8.10714285714286
54,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,rest,,,,,,,,0.25,7.154761904761907
55,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,rest,,,,,,,,0.125,7.630952380952383
56,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,7.869047619047621
57,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,G4,G,G,0.0,4,67.0,7.0,0.125,7.869047619047621
58,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,rest,,,,,,,,0.125,8.10714285714286
59,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,8.345238095238097
60,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,G4,G,G,0.0,4,67.0,7.0,0.125,8.345238095238097
61,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,E3,E,E,0.0,3,52.0,4.0,0.125,7.154761904761905
62,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,F#3,F#,F,1.0,3,54.0,6.0,0.125,7.392857142857143
63,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,G3,G,G,0.0,3,55.0,7.0,0.25,7.630952380952381
64,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,6,2,major,7.154761904761907,note,A2,A,A,0.0,2,45.0,9.0,0.25,8.107142857142858
65,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,7,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,8.583333333333334
66,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,7,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,9.05952380952381
67,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,7,,,,rest,,,,,,,,0.125,8.583333333333334
68,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,7,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,8.821428571428571
69,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,7,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,8.821428571428571
70,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,7,,,,rest,,,,,,,,0.125,9.059523809523808
71,data\scores\Chaminade\Serenade_Op._29__Cecile_Chaminade.mxl,Chaminade,Serenade_Op._29__Cecile_Chaminade,7,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,9.297619047619046
