,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,1,0,major,0,note,G3,G,G,0,3,55,7,0.5,0
1,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,1,0,major,0,note,G3,G,G,0,3,55,7,0.25,1.0
2,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,1,0,major,0,note,A3,A,A,0,3,57,9,0.25,1.5
3,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,1,0,major,0,note,B3,B,B,0,3,59,11,0.25,2.0
4,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,1,0,major,0,note,C4,C,C,0,4,60,0,0.25,2.5
5,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,1,0,major,0,note,D4,D,D,0,4,62,2,0.25,3.0
6,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,1,0,major,0,note,B3,B,B,0,3,59,11,0.25,3.5
7,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,2,,,,note,E4,E,E,0,4,64,4,1.0,4.0
8,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,2,,,,note,D4,D,D,0,4,62,2,0.5,6.0
9,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,2,,,,note,B3,B,B,0,3,59,11,0.5,7.0
10,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,3,,,,note,B3,B,B,0,3,59,11,0.5,8.0
11,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,3,,,,note,E4,E,E,0,4,64,4,0.5,9.0
12,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,3,,,,note,E4,E,E,0,4,64,4,0.25,10.0
13,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,3,,,,note,D4,D,D,0,4,62,2,0.25,10.5
14,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,3,,,,note,C4,C,C,0,4,60,0,0.5,11.0
15,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,4,,,,note,B3,B,B,0,3,59,11,0.5,12.0
16,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,4,,,,note,D4,D,D,0,4,62,2,1.0,13.0
17,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,4,,,,note,D4,D,D,0,4,62,2,0.5,15.0
18,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,5,,,,note,G3,G,G,0,3,55,7,0.25,16.0
19,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,5,,,,note,A3,A,A,0,3,57,9,0.25,16.5
20,..\data\scores\diLasso_Orlando\Sicut-rosa_Lassus-Orlande-de_file1.xml,Lasso_Orlando,Sicut-rosa_Lassus-Orlande-de_file1,5,,,,note,B3,B,B,0,3,59,11,0.25,17.0
