,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,1,0,major,0,note,G5,G,G,0,5,79,7,0.375,0
1,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,1,0,major,0,note,G5,G,G,0,5,79,7,0.0625,0.75
2,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,1,0,major,0,note,A5,A,A,0,5,81,9,0.0625,0.875
3,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,1,0,major,0,note,F5,F,F,0,5,77,5,0.1875,1.0
4,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,1,0,major,0,note,F5,F,F,0,5,77,5,0.0625,1.375
5,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,1,0,major,0,note,G5,G,G,0,5,79,7,0.1875,1.5
6,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,1,0,major,0,note,G5,G,G,0,5,79,7,0.0625,1.875
7,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,2,,,,note,E5,E,E,0,5,76,4,0.375,2.0
8,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,2,,,,note,E5,E,E,0,5,76,4,0.0625,2.75
9,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,2,,,,note,F5,F,F,0,5,77,5,0.0625,2.875
10,..\data\scores\Corelli_Arcangelo\Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1.xml,Corelli_Arcangelo,Sonata-in-C-Major-Op.-4-No.-1_Preludio_Corelli-Arcangelo_file1,2,,,,note,D5,D,D,0,5,74,2,0.1875,3.0
