,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,rest,,,,,,,,0.125,0
1,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,note,F#5,F#,F,1.0,5,78.0,6.0,0.0625,0.25
2,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,note,E5,E,E,0.0,5,76.0,4.0,0.0625,0.4
3,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.125,0.55
4,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,note,B5,B,B,0.0,5,83.0,11.0,0.25,0.8500000000000001
5,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,note,A#5,A#,A,1.0,5,82.0,10.0,0.125,1.4500000000000002
6,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.25,0.5500000000000003
7,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.25,1.1500000000000004
8,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,rest,,,,,,,,0.125,-0.04999999999999938
9,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,rest,,,,,,,,0.125,0.2500000000000006
10,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,rest,,,,,,,,0.25,0.5500000000000006
11,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,1,2,major,0,rest,,,,,,,,0.25,1.1500000000000006
12,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,2,,,,note,B5,B,B,0.0,5,83.0,11.0,0.25,1.7500000000000004
13,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,2,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,2.3500000000000005
14,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,2,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,2.9500000000000006
15,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,2,,,,rest,,,,,,,,0.125,1.7500000000000009
16,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,2,,,,note,G4,G,G,0.0,4,67.0,7.0,0.0625,2.0500000000000007
17,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,2,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,2.2000000000000006
18,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,2.3500000000000005
19,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,2,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,2.6500000000000004
20,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,2,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,2.95
21,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,2,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.125,3.25
22,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,3.55
23,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,B4,B,B,0.0,4,71.0,11.0,0.0625,3.8499999999999996
24,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,A4,A,A,0.0,4,69.0,9.0,0.0625,3.9999999999999996
25,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,4.1499999999999995
26,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,4.449999999999999
27,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,A#4,A#,A,1.0,4,70.0,10.0,0.125,5.049999999999999
28,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,4.149999999999999
29,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,4.749999999999998
30,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,5.049999999999998
31,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,B3,B,B,0.0,3,59.0,11.0,0.25,3.549999999999998
32,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,E3,E,E,0.0,3,52.0,4.0,0.125,4.149999999999998
33,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,4.4499999999999975
34,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,4.749999999999997
35,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.125,5.049999999999997
36,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,E3,E,E,0.0,3,52.0,4.0,0.25,4.149999999999997
37,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,3,,,,note,F#3,F#,F,1.0,3,54.0,6.0,0.25,4.7499999999999964
38,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,4,,,,rest,,,,,,,,0.25,5.349999999999996
39,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,4,,,,note,B5,B,B,0.0,5,83.0,11.0,0.25,5.949999999999996
40,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,4,,,,rest,,,,,,,,0.25,6.549999999999995
41,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,4,,,,note,B4,B,B,0.0,4,71.0,11.0,0.0625,5.349999999999995
42,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,4,,,,note,B3,B,B,0.0,3,59.0,11.0,0.0625,5.499999999999996
43,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,4,,,,note,D4,D,D,0.0,4,62.0,2.0,0.0625,5.649999999999996
44,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,4,,,,note,B3,B,B,0.0,3,59.0,11.0,0.0625,5.799999999999996
45,..\data\scores\Scarlatti_Domenico\Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti.mxl,Scarlatti_Domenico,Sonate_en_si_mineur_-_K27_-_Domenico_Scarlatti,4,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,5.949999999999997
