,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,1,0,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,1,0,major,0,rest,,,,,,,,0.125,0.2898550724637681
2,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,1,0,major,0,rest,,,,,,,,0.25,0.4347826086956522
3,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,1,0,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.0625,0.7246376811594204
4,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,1,0,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.0625,0.7971014492753624
5,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,0.8695652173913044
6,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,2,,,,rest,,,,,,,,0.125,1.0144927536231885
7,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,2,,,,rest,,,,,,,,0.125,1.1594202898550725
8,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,2,,,,rest,,,,,,,,0.25,1.3043478260869565
9,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.0625,1.5942028985507246
10,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,2,,,,note,E4,E,E,0.0,4,64.0,4.0,0.0625,1.6666666666666667
11,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,1.7391304347826089
12,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,3,,,,rest,,,,,,,,0.125,1.884057971014493
13,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,3,,,,rest,,,,,,,,0.125,2.028985507246377
14,..\data\scores\Schumann_Robert\String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1.xml,Schumann_Robert,String-Quartet-in-A-Minor-Op.-41-no.-1_Allegro_Schumann-Robert_file1,3,,,,rest,,,,,,,,0.25,2.173913043478261
