,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Tchaikovsky_Pyotr\Tchaikovsky - Seasons No 5.xml,Tchaikovsky_Pyotr,Tchaikovsky - Seasons No 5,1,1,major,0,note,D5,D,D,0,5,74,2,0.25,0
1,..\data\scores\Tchaikovsky_Pyotr\Tchaikovsky - Seasons No 5.xml,Tchaikovsky_Pyotr,Tchaikovsky - Seasons No 5,1,1,major,0,note,B4,B,B,0,4,71,11,0.125,0.5
2,..\data\scores\Tchaikovsky_Pyotr\Tchaikovsky - Seasons No 5.xml,Tchaikovsky_Pyotr,Tchaikovsky - Seasons No 5,1,1,major,0,note,B4,B,B,0,4,71,11,0.375,0.75
3,..\data\scores\Tchaikovsky_Pyotr\Tchaikovsky - Seasons No 5.xml,Tchaikovsky_Pyotr,Tchaikovsky - Seasons No 5,1,1,major,0,note,D5,D,D,0,5,74,2,0.25,1.5
4,..\data\scores\Tchaikovsky_Pyotr\Tchaikovsky - Seasons No 5.xml,Tchaikovsky_Pyotr,Tchaikovsky - Seasons No 5,1,1,major,0,note,B4,B,B,0,4,71,11,0.125,2.0
5,..\data\scores\Tchaikovsky_Pyotr\Tchaikovsky - Seasons No 5.xml,Tchaikovsky_Pyotr,Tchaikovsky - Seasons No 5,1,1,major,0,note,D4,D,D,0,4,62,2,0.375,0.0
6,..\data\scores\Tchaikovsky_Pyotr\Tchaikovsky - Seasons No 5.xml,Tchaikovsky_Pyotr,Tchaikovsky - Seasons No 5,1,1,major,0,note,F#4,F#,F,1,4,66,6,0.375,0.0
7,..\data\scores\Tchaikovsky_Pyotr\Tchaikovsky - Seasons No 5.xml,Tchaikovsky_Pyotr,Tchaikovsky - Seasons No 5,1,1,major,0,note,D4,D,D,0,4,62,2,0.375,0.75
8,..\data\scores\Tchaikovsky_Pyotr\Tchaikovsky - Seasons No 5.xml,Tchaikovsky_Pyotr,Tchaikovsky - Seasons No 5,1,1,major,0,note,G4,G,G,0,4,67,7,0.375,0.75
9,..\data\scores\Tchaikovsky_Pyotr\Tchaikovsky - Seasons No 5.xml,Tchaikovsky_Pyotr,Tchaikovsky - Seasons No 5,1,1,major,0,note,D4,D,D,0,4,62,2,0.375,1.5
