,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,G3,G,G,0,3,55,7,0.0625,0
1,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,C4,C,C,0,4,60,0,0.0625,0
2,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,rest,,,,,,,,0.0625,0.125
3,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,Eb4,Eb,E,-1,4,63,3,0.0625,0.2236842105263158
4,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,G4,G,G,0,4,67,7,0.0625,0.3223684210526316
5,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,F4,F,F,0,4,65,5,0.0625,0.42105263157894735
6,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,Eb4,Eb,E,-1,4,63,3,0.0625,0.5197368421052632
7,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,D4,D,D,0,4,62,2,0.0625,0.618421052631579
8,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,C4,C,C,0,4,60,0,0.0625,0.7171052631578948
9,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,C2,C,C,0,2,36,0,0.0625,0.026315789473684292
10,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,G2,G,G,0,2,43,7,0.0625,0.026315789473684292
11,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,note,Eb3,Eb,E,-1,3,51,3,0.0625,0.026315789473684292
12,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,rest,,,,,,,,0.0625,0.12500000000000008
13,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,rest,,,,,,,,0.125,0.22368421052631587
14,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,1,-3,major,0,rest,,,,,,,,0.25,0.42105263157894746
15,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,2,,,,rest,,,,,,,,0.25,0.8157894736842106
16,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,2,,,,note,B3,B,B,0,3,59,11,0.0625,0.8157894736842106
17,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,2,,,,note,C4,C,C,0,4,60,0,0.0625,0.9144736842105264
18,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,2,,,,note,D4,D,D,0,4,62,2,0.0625,1.0131578947368423
19,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,2,,,,note,B3,B,B,0,3,59,11,0.0625,1.111842105263158
20,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,2,,,,note,C4,C,C,0,4,60,0,0.0625,1.2105263157894737
21,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,2,,,,note,D4,D,D,0,4,62,2,0.0625,1.3092105263157894
22,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,2,,,,note,Eb4,Eb,E,-1,4,63,3,0.0625,1.407894736842105
23,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,2,,,,note,F4,F,F,0,4,65,5,0.0625,1.5065789473684208
24,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,3,,,,rest,,,,,,,,0.125,1.6052631578947365
25,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,3,,,,note,B4,B,B,0,4,71,11,0.0,0
26,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,3,,,,note,C5,C,C,0,5,72,0,0.125,1.8026315789473681
27,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,3,,,,note,F4,F,F,0,4,65,5,0.125,1.9999999999999998
28,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,3,,,,note,B4,B,B,0,4,71,11,0.0,0
29,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,3,,,,note,C5,C,C,0,5,72,0,0.125,2.1973684210526314
30,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,3,,,,note,G4,G,G,0,4,67,7,0.125,1.6052631578947365
31,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,3,,,,rest,,,,,,,,0.125,1.8026315789473681
32,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,3,,,,note,D4,D,D,0,4,62,2,0.125,1.9999999999999998
33,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,3,,,,rest,,,,,,,,0.125,2.1973684210526314
34,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,4,,,,note,Eb4,Eb,E,-1,4,63,3,0.125,2.394736842105263
35,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,4,,,,note,B4,B,B,0,4,71,11,0.0,0
36,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,4,,,,note,C5,C,C,0,5,72,0,0.125,2.5921052631578942
37,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,4,,,,note,D4,D,D,0,4,62,2,0.125,2.7894736842105257
38,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,4,,,,note,B4,B,B,0,4,71,11,0.0,0
39,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,4,,,,note,C5,C,C,0,5,72,0,0.125,2.986842105263157
40,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,4,,,,note,C4,C,C,0,4,60,0,0.125,2.394736842105262
41,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,4,,,,rest,,,,,,,,0.125,2.5921052631578934
42,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,4,,,,note,Bb3,Bb,B,-1,3,58,10,0.125,2.7894736842105248
43,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,4,,,,rest,,,,,,,,0.125,2.986842105263156
44,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,C4,C,C,0,4,60,0,0.125,3.1842105263157876
45,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,Eb4,Eb,E,-1,4,63,3,0.125,3.1842105263157876
46,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,Eb5,Eb,E,-1,5,75,3,0.0625,3.381578947368419
47,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,G5,G,G,0,5,79,7,0.0625,3.480263157894735
48,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,F5,F,F,0,5,77,5,0.0625,3.578947368421051
49,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,Eb5,Eb,E,-1,5,75,3,0.0625,3.677631578947367
50,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,D5,D,D,0,5,74,2,0.0625,3.7763157894736827
51,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,C5,C,C,0,5,72,0,0.0625,3.8749999999999987
52,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,Ab1,Ab,A,-1,1,32,8,0.125,3.1842105263157885
53,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,Ab2,Ab,A,-1,2,44,8,0.125,3.1842105263157885
54,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,C4,C,C,0,4,60,0,0.25,3.38157894736842
55,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,Eb4,Eb,E,-1,4,63,3,0.25,3.38157894736842
56,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,C4,C,C,0,4,60,0,0.125,3.776315789473683
57,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,5,,,,note,Eb4,Eb,E,-1,4,63,3,0.125,3.776315789473683
58,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,Eb5,Eb,E,-1,5,75,3,0.0625,3.9736842105263146
59,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,4.07236842105263
60,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,C5,C,C,0,5,72,0,0.0625,4.171052631578946
61,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,D5,D,D,0,5,74,2,0.0625,4.269736842105262
62,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,Eb5,Eb,E,-1,5,75,3,0.0625,4.368421052631578
63,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,F5,F,F,0,5,77,5,0.0625,4.467105263157894
64,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,G5,G,G,0,5,79,7,0.0625,4.56578947368421
65,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,Ab5,Ab,A,-1,5,80,8,0.0625,4.664473684210526
66,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,rest,,,,,,,,0.125,3.973684210526315
67,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,D4,D,D,0,4,62,2,0.25,4.171052631578947
68,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,F4,F,F,0,4,65,5,0.25,4.171052631578947
69,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,D4,D,D,0,4,62,2,0.125,4.56578947368421
70,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,F4,F,F,0,4,65,5,0.125,4.56578947368421
71,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,Ab3,Ab,A,-1,3,56,8,0.5,3.973684210526315
72,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,6,,,,note,Bb3,Bb,B,-1,3,58,10,0.5,3.973684210526315
73,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,7,,,,note,Bb5,Bb,B,-1,5,82,10,0.0625,4.763157894736842
74,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,7,,,,note,G5,G,G,0,5,79,7,0.0625,4.8618421052631575
75,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,7,,,,note,Ab5,Ab,A,-1,5,80,8,0.0625,4.9605263157894735
76,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,7,,,,note,F5,F,F,0,5,77,5,0.0625,5.059210526315789
77,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,7,,,,note,G5,G,G,0,5,79,7,0.0625,5.157894736842105
78,data\scores\Chaminade\Toccata_Op._39__Cecile_Chaminade.mxl,Chaminade,Toccata_Op._39__Cecile_Chaminade,7,,,,note,Eb5,Eb,E,-1,5,75,3,0.0625,5.256578947368421
