,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,1,0,major,0,note,C5,C,C,0,5,72,0,0.125,0
1,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,1,0,major,0,note,D5,D,D,0,5,74,2,0.125,0.25
2,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,1,0,major,0,note,C5,C,C,0,5,72,0,0.125,0.5
3,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,1,0,major,0,note,B4,B,B,0,4,71,11,0.125,0.75
4,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,1,0,major,0,note,A4,A,A,0,4,69,9,0.25,1.0
5,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,2,,,,note,C5,C,C,0,5,72,0,0.25,1.5
6,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,2,,,,note,B4,B,B,0,4,71,11,0.375,2.0
7,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,2,,,,note,A4,A,A,0,4,69,9,0.125,2.75
8,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,3,,,,note,G#4,G#,G,1,4,68,8,0.25,3.0
9,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,3,,,,note,E4,E,E,0,4,64,4,0.25,3.5
10,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,3,,,,rest,,,,,,,,0.25,4.0
11,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,4,,,,rest,,,,,,,,0.125,4.5
12,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,4,,,,note,A5,A,A,0,5,81,9,0.125,4.75
13,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3.xml,Buxtehude_Dietrich,Trio-Sonata-in-A-Minor-op.-1-no.-3_Vivace_Buxtehude-Dietrich_file3,4,,,,note,E5,E,E,0,5,76,4,0.125,5.0
