,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2.xml,Buxtehude_Dietrich,Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2,1,-1,major,0,rest,,,,,,,,0.125,0
1,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2.xml,Buxtehude_Dietrich,Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2,1,-1,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.125,0.25
2,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2.xml,Buxtehude_Dietrich,Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2,1,-1,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.1875,0.5
3,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2.xml,Buxtehude_Dietrich,Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2,1,-1,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.0625,0.875
4,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2.xml,Buxtehude_Dietrich,Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2,1,-1,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.25,1.0
5,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2.xml,Buxtehude_Dietrich,Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2,1,-1,major,0,rest,,,,,,,,0.125,1.5
6,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2.xml,Buxtehude_Dietrich,Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2,1,-1,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.0625,1.75
7,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2.xml,Buxtehude_Dietrich,Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2,1,-1,major,0,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.0625,1.875
8,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2.xml,Buxtehude_Dietrich,Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,2.0
9,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2.xml,Buxtehude_Dietrich,Trio-Sonata-in-F-Major-op.1-no.1_Presto_Buxtehude-Dietrich_file2,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,2.25
