,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,1,1,major,0,rest,,,,,,,,0.5,0
1,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,1,1,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.5,1.0
2,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,2,,,,note,B4,B,B,0.0,4,71.0,11.0,0.5,2.0
3,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,3.0
4,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,3,,,,note,B4,B,B,0.0,4,71.0,11.0,1.0,4.0
5,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,4,,,,rest,,,,,,,,0.5,6.0
6,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,4,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,7.0
7,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,5,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,8.0
8,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,8.5
9,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,9.0
10,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,6,,,,rest,,,,,,,,0.5,10.0
11,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,6,,,,note,B4,B,B,0.0,4,71.0,11.0,0.5,11.0
12,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,7,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,12.0
13,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,7,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,12.5
14,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,7,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,12.75
15,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.375,13.0
16,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,7,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,13.75
17,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,8,,,,note,E4,E,E,0.0,4,64.0,4.0,0.25,14.0
18,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,8,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.125,14.5
19,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,8,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,14.75
20,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,8,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.375,15.0
21,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,8,,,,note,E4,E,E,0.0,4,64.0,4.0,0.125,15.75
22,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,9,,,,note,D#4,D#,D,1.0,4,63.0,3.0,1.0,16.0
23,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,1,1,major,0,rest,,,,,,,,0.5,0
24,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,1,1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.5,1.0
25,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,2,,,,note,E4,E,E,0.0,4,64.0,4.0,1.0,2.0
26,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,3,,,,note,D#4,D#,D,1.0,4,63.0,3.0,1.0,4.0
27,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,4,,,,rest,,,,,,,,0.5,6.0
28,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,4,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,7.0
29,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,5,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.25,8.0
30,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,5,,,,note,B3,B,B,0.0,3,59.0,11.0,0.25,8.5
31,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,5,,,,note,E4,E,E,0.0,4,64.0,4.0,0.5,9.0
32,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,6,,,,rest,,,,,,,,0.25,10.0
33,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,6,,,,note,E4,E,E,0.0,4,64.0,4.0,0.5,10.5
34,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,6,,,,note,D4,D,D,0.0,4,62.0,2.0,0.25,11.5
35,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,7,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.25,12.0
36,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,7,,,,note,C4,C,C,0.0,4,60.0,0.0,0.25,12.5
37,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,7,,,,rest,,,,,,,,0.25,13.0
38,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,7,,,,note,B3,B,B,0.0,3,59.0,11.0,0.25,13.5
39,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,8,,,,note,B3,B,B,0.0,3,59.0,11.0,0.25,14.0
40,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,8,,,,note,A3,A,A,0.0,3,57.0,9.0,0.125,14.5
41,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,8,,,,note,G3,G,G,0.0,3,55.0,7.0,0.125,14.75
42,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,8,,,,note,A3,A,A,0.0,3,57.0,9.0,0.5,15.0
43,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,9,,,,note,B3,B,B,0.0,3,59.0,11.0,1.0,16.0
44,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,1,1,major,0,rest,,,,,,,,0.5,0
45,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,1,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.5,1.0
46,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,2,,,,note,C4,C,C,0.0,4,60.0,0.0,1.0,2.0
47,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,3,,,,note,B3,B,B,0.0,3,59.0,11.0,1.0,4.0
48,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,4,,,,rest,,,,,,,,0.5,6.0
49,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,4,,,,note,D#3,D#,D,1.0,3,51.0,3.0,0.5,7.0
50,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,5,,,,note,E3,E,E,0.0,3,52.0,4.0,1.0,8.0
51,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,6,,,,note,G2,G,G,0.0,2,43.0,7.0,0.5,10.0
52,..\data\scores\Buxtehude_Dietrich\Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1.xml,Buxtehude_Dietrich,Trio-Sonata-in-G-Major-op.-1-no.-2_Adagio_Buxtehude-Dietrich_file1,6,,,,note,G#2,G#,G,1.0,2,44.0,8.0,0.5,11.0
