,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,rest,,,,,,,,0.25,0
1,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.0625,0.0
2,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,0.10869565217391304
3,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.0625,0.21739130434782608
4,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,0.32608695652173914
5,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.0625,0.43478260869565216
6,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,0.5434782608695652
7,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.0625,0.6521739130434783
8,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,0.7608695652173914
9,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.0625,0.8695652173913044
10,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,0.9782608695652175
11,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.0625,1.0869565217391306
12,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,1.1956521739130437
13,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.0625,1.3043478260869568
14,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,1.4130434782608698
15,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.0625,1.521739130434783
16,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,1.630434782608696
17,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.0625,1.739130434782609
18,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,1.8478260869565222
19,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.0625,1.9565217391304353
20,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,2.065217391304348
21,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.0625,2.173913043478261
22,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,2.2826086956521743
23,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.0625,2.3913043478260874
24,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,1,-1,major,0,note,A2,A,A,0.0,2,45.0,9.0,0.0625,2.5000000000000004
25,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,rest,,,,,,,,0.25,2.6086956521739135
26,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,F2,F,F,0.0,2,41.0,5.0,0.0625,2.608695652173913
27,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,2.717391304347826
28,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,F2,F,F,0.0,2,41.0,5.0,0.0625,2.8260869565217392
29,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,2.9347826086956523
30,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,F2,F,F,0.0,2,41.0,5.0,0.0625,3.0434782608695654
31,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,3.1521739130434785
32,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,F2,F,F,0.0,2,41.0,5.0,0.0625,3.2608695652173916
33,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,3.3695652173913047
34,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,F2,F,F,0.0,2,41.0,5.0,0.0625,3.4782608695652177
35,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,3.586956521739131
36,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,F2,F,F,0.0,2,41.0,5.0,0.0625,3.695652173913044
37,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,3.804347826086957
38,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,E2,E,E,0.0,2,40.0,4.0,0.0625,3.91304347826087
39,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,4.021739130434783
40,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,E2,E,E,0.0,2,40.0,4.0,0.0625,4.130434782608696
41,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,4.239130434782609
42,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,E2,E,E,0.0,2,40.0,4.0,0.0625,4.347826086956522
43,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,4.4565217391304355
44,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,E2,E,E,0.0,2,40.0,4.0,0.0625,4.565217391304349
45,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,4.673913043478262
46,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,E2,E,E,0.0,2,40.0,4.0,0.0625,4.782608695652175
47,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._10_in_D_Minor,2,,,,note,A2,A,A,0.0,2,45.0,9.0,0.0625,4.891304347826088
