,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C6,C,C,0,6,84,0,0.08333333333333333,0
1,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,G6,G,G,0,6,91,7,0.08333333333333333,0
2,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,Bb6,Bb,B,-1,6,94,10,0.08333333333333333,0
3,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C7,C,C,0,7,96,0,0.08333333333333333,0
4,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C6,C,C,0,6,84,0,0.08333333333333333,0.1388888888888889
5,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,G6,G,G,0,6,91,7,0.08333333333333333,0.1388888888888889
6,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,Bb6,Bb,B,-1,6,94,10,0.08333333333333333,0.1388888888888889
7,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C7,C,C,0,7,96,0,0.08333333333333333,0.1388888888888889
8,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C6,C,C,0,6,84,0,0.08333333333333333,0.2777777777777778
9,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,G6,G,G,0,6,91,7,0.08333333333333333,0.2777777777777778
10,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,Bb6,Bb,B,-1,6,94,10,0.08333333333333333,0.2777777777777778
11,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C7,C,C,0,7,96,0,0.08333333333333333,0.2777777777777778
12,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C6,C,C,0,6,84,0,0.08333333333333333,0.4166666666666667
13,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,G6,G,G,0,6,91,7,0.08333333333333333,0.4166666666666667
14,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,Bb6,Bb,B,-1,6,94,10,0.08333333333333333,0.4166666666666667
15,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C7,C,C,0,7,96,0,0.08333333333333333,0.4166666666666667
16,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C6,C,C,0,6,84,0,0.08333333333333333,0.5555555555555556
17,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,G6,G,G,0,6,91,7,0.08333333333333333,0.5555555555555556
18,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,Bb6,Bb,B,-1,6,94,10,0.08333333333333333,0.5555555555555556
19,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C7,C,C,0,7,96,0,0.08333333333333333,0.5555555555555556
20,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C6,C,C,0,6,84,0,0.08333333333333333,0.6944444444444444
21,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,G6,G,G,0,6,91,7,0.08333333333333333,0.6944444444444444
22,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,Bb6,Bb,B,-1,6,94,10,0.08333333333333333,0.6944444444444444
23,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C7,C,C,0,7,96,0,0.08333333333333333,0.6944444444444444
24,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C6,C,C,0,6,84,0,0.08333333333333333,0.8333333333333333
25,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,G6,G,G,0,6,91,7,0.08333333333333333,0.8333333333333333
26,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,Bb6,Bb,B,-1,6,94,10,0.08333333333333333,0.8333333333333333
27,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C7,C,C,0,7,96,0,0.08333333333333333,0.8333333333333333
28,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C6,C,C,0,6,84,0,0.08333333333333333,0.9722222222222221
29,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,G6,G,G,0,6,91,7,0.08333333333333333,0.9722222222222221
30,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,Bb6,Bb,B,-1,6,94,10,0.08333333333333333,0.9722222222222221
31,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C7,C,C,0,7,96,0,0.08333333333333333,0.9722222222222221
32,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,C6,C,C,0,6,84,0,0.08333333333333333,1.111111111111111
33,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,G6,G,G,0,6,91,7,0.08333333333333333,1.111111111111111
34,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._12_in_D_Major,1,-5,major,0,note,Bb6,Bb,B,-1,6,94,10,0.08333333333333333,1.111111111111111
