,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor,1,-2,major,0,rest,,,,,,,,0.25,0
1,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor,1,-2,major,0,note,B1,B,B,0.0,1,35.0,11.0,0.125,0.0
2,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor,1,-2,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.125,0.0
3,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor,1,-2,major,0,note,D3,D,D,0.0,3,50.0,2.0,0.125,0.0
4,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor,1,-2,major,0,rest,,,,,,,,0.125,0.5357142857142857
5,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor,1,-2,major,0,rest,,,,,,,,0.125,1.0714285714285714
6,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor,1,-2,major,0,note,C2,C,C,0.0,2,36.0,0.0,0.125,1.6071428571428572
7,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor,1,-2,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.125,1.6071428571428572
8,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor,1,-2,major,0,note,Eb3,Eb,E,-1.0,3,51.0,3.0,0.125,1.6071428571428572
9,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._1_in_G_Minor,1,-2,major,0,rest,,,,,,,,0.125,2.142857142857143
