,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,D#4,D#,D,1,4,63,3,0.0,0
1,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,D#5,D#,D,1,5,75,3,0.0,0
2,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,E4,E,E,0,4,64,4,0.25,0
3,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,E5,E,E,0,5,76,4,0.25,0
4,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,F#4,F#,F,1,4,66,6,0.0,0
5,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,F#5,F#,F,1,5,78,6,0.0,0
6,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,G4,G,G,0,4,67,7,0.25,0.46875
7,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,G5,G,G,0,5,79,7,0.25,0.46875
8,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,D#2,D#,D,1,2,39,3,0.0,0
9,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,D#3,D#,D,1,3,51,3,0.0,0
10,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,E2,E,E,0,2,40,4,0.25,0.0
11,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,E3,E,E,0,3,52,4,0.25,0.0
12,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,F#2,F#,F,1,2,42,6,0.0,0
13,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,F#3,F#,F,1,3,54,6,0.0,0
14,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,G2,G,G,0,2,43,7,0.25,0.46875
15,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,1,1,major,0,note,G3,G,G,0,3,55,7,0.25,0.46875
16,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,A#4,A#,A,1,4,70,10,0.0,0
17,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,A#5,A#,A,1,5,82,10,0.0,0
18,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,B4,B,B,0,4,71,11,0.125,0.9375
19,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,B5,B,B,0,5,83,11,0.125,0.9375
20,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,D#5,D#,D,1,5,75,3,0.0,0
21,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,D#6,D#,D,1,6,87,3,0.0,0
22,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,E5,E,E,0,5,76,4,0.125,1.171875
23,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,E6,E,E,0,6,88,4,0.125,1.171875
24,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,F#5,F#,F,1,5,78,6,0.0,0
25,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,F#6,F#,F,1,6,90,6,0.0,0
26,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,G5,G,G,0,5,79,7,0.125,1.40625
27,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,G6,G,G,0,6,91,7,0.125,1.40625
28,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,rest,,,,,,,,0.125,1.640625
29,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,A#2,A#,A,1,2,46,10,0.0,0
30,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,A#3,A#,A,1,3,58,10,0.0,0
31,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,B2,B,B,0,2,47,11,0.125,0.9375
32,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,B3,B,B,0,3,59,11,0.125,0.9375
33,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,D#3,D#,D,1,3,51,3,0.0,0
34,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,D#4,D#,D,1,4,63,3,0.0,0
35,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,E3,E,E,0,3,52,4,0.125,1.171875
36,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,E4,E,E,0,4,64,4,0.125,1.171875
37,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,F#3,F#,F,1,3,54,6,0.0,0
38,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,F#4,F#,F,1,4,66,6,0.0,0
39,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,G3,G,G,0,3,55,7,0.125,1.40625
40,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,note,G4,G,G,0,4,67,7,0.125,1.40625
41,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,2,,,,rest,,,,,,,,0.125,1.640625
42,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,3,,,,note,F#5,F#,F,1,5,78,6,0.125,1.875
43,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,3,,,,note,A#5,A#,A,1,5,82,10,0.125,1.875
44,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,3,,,,note,F#6,F#,F,1,6,90,6,0.125,1.875
45,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,3,,,,note,F#5,F#,F,1,5,78,6,0.0625,2.109375
46,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,3,,,,note,A#5,A#,A,1,5,82,10,0.0625,2.109375
47,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,3,,,,note,F#6,F#,F,1,6,90,6,0.0625,2.109375
48,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,3,,,,note,F#5,F#,F,1,5,78,6,0.0625,2.2265625
49,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._2_in_E_Minor,3,,,,note,A#5,A#,A,1,5,82,10,0.0625,2.2265625
