,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.125,0
1,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor,1,3,major,0,rest,,,,,,,,0.125,0.0
2,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor,2,,,,note,B#4,B#,B,1,4,60,0,0.25,0.21739130434782608
3,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor,2,,,,note,C#5,C#,C,1,5,73,1,0.125,0.6521739130434783
4,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor,2,,,,note,F#5,F#,F,1,5,78,6,0.25,0.8695652173913043
5,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor,2,,,,note,C#5,C#,C,1,5,73,1,0.125,1.3043478260869565
6,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor,2,,,,rest,,,,,,,,0.125,0.21739130434782616
7,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor,2,,,,note,C#4,C#,C,1,4,61,1,0.125,0.4347826086956522
8,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor,2,,,,note,F#4,F#,F,1,4,66,6,0.125,0.6521739130434783
9,data\scores\Alkan\Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor.mxl,Alkan,Un_Morceau_Caracteristique_Opus_74_No._5_in_F_Minor,2,,,,note,C#5,C#,C,1,5,73,1,0.125,0.6521739130434783
