,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,1,2,major,0,note,F#5,F#,F,1,5,78,6,0.0625,0
1,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,1,2,major,0,note,B5,B,B,0,5,83,11,0.0625,0
2,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,1,2,major,0,note,D6,D,D,0,6,86,2,0.0625,0
3,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,1,2,major,0,note,F#6,F#,F,1,6,90,6,0.0625,0
4,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,1,2,major,0,note,B3,B,B,0,3,59,11,0.0625,0.0
5,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,1,2,major,0,note,D4,D,D,0,4,62,2,0.0625,0.0
6,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,1,2,major,0,note,F#4,F#,F,1,4,66,6,0.0625,0.0
7,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,1,2,major,0,note,B4,B,B,0,4,71,11,0.0625,0.0
8,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,G5,G,G,0,5,79,7,0.125,0.09868421052631579
9,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,B5,B,B,0,5,83,11,0.125,0.09868421052631579
10,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,D6,D,D,0,6,86,2,0.125,0.09868421052631579
11,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,G6,G,G,0,6,91,7,0.125,0.09868421052631579
12,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,rest,,,,,,,,0.125,0.29605263157894735
13,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,F#5,F#,F,1,5,78,6,0.125,0.4934210526315789
14,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,B5,B,B,0,5,83,11,0.125,0.4934210526315789
15,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,D6,D,D,0,6,86,2,0.125,0.4934210526315789
16,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,F#6,F#,F,1,6,90,6,0.125,0.4934210526315789
17,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,rest,,,,,,,,0.125,0.6907894736842105
18,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,E#5,E#,E,1,5,77,5,0.125,0.888157894736842
19,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,B5,B,B,0,5,83,11,0.125,0.888157894736842
20,data\scores\Alkan\Une_Improvisation_in_B_Minor_Opus_12b_No._3.mxl,Alkan,Une_Improvisation_in_B_Minor_Opus_12b_No._3,2,,,,note,D6,D,D,0,6,86,2,0.125,0.888157894736842
