,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,1,-3,major,0,rest,,,,,,,,0.25,0
1,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,2,,,,rest,,,,,,,,0.25,3.692319053289395
2,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,3,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.25,7.38463810657879
3,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,3,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,8.47554719748788
4,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,3,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,9.021001742942426
5,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,3,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,9.56645628839697
6,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,3,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,10.111910833851516
7,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,3,,,,note,C4,C,C,0.0,4,60.0,0.0,0.125,10.65736537930606
8,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,3,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,11.202819924760606
9,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,4,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,11.74827447021515
10,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,4,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,12.293729015669696
11,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,4,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,12.83918356112424
12,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,4,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,13.384638106578786
13,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,4,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,13.93009265203333
14,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,4,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,15.02100174294242
15,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,5,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,16.11191083385151
16,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,5,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,17.2028199247606
17,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,5,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,17.748274470215147
18,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,5,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.25,18.293729015669694
19,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,5,,,,note,C4,C,C,0.0,4,60.0,0.0,0.125,19.384638106578784
20,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,5,,,,note,D4,D,D,0.0,4,62.0,2.0,0.125,19.93009265203333
21,..\data\scores\VaughanWilliams_Ralph\Wither_must_I_wander__Ralph_Vaughan_Williams.musicxml,VaughanWilliams_Ralph,Wither_must_I_wander__Ralph_Vaughan_Williams,6,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,20.475547197487877
