,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe,1,-2,major,0,rest,,,,,,,,0.125,0
1,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe,2,,,,rest,,,,,,,,0.25,0.3750009375023438
2,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe,3,,,,rest,,,,,,,,0.25,4.87501218753047
3,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe,4,,,,rest,,,,,,,,0.75,9.375023437558596
4,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe,4,,,,rest,,,,,,,,0.25,11.62502906257266
5,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe,4,,,,rest,,,,,,,,0.125,12.375030937577348
6,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe,4,,,,rest,,,,,,,,0.125,12.750031875079692
7,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe,4,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,13.125032812582036
8,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe,4,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,13.50003375008438
9,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.3_-_Verschwiegene_Liebe,5,,,,note,C5,C,C,0.0,5,72.0,0.0,0.375,13.875034687586725
