,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,1,2,major,0,rest,,,,,,,,0.25,0
1,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,2,,,,rest,,,,,,,,0.25,2.250005625014063
2,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,3,,,,rest,,,,,,,,0.25,4.500011250028126
3,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,4,,,,rest,,,,,,,,0.25,6.7500168750421885
4,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,5,,,,rest,,,,,,,,0.25,9.000022500056252
5,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,6,,,,rest,,,,,,,,0.25,11.250028125070315
6,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,7,,,,rest,,,,,,,,0.25,13.500033750084379
7,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,8,,,,rest,,,,,,,,0.25,15.750039375098442
8,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,9,2,major,18.000045000112504,rest,,,,,,,,0.25,18.000045000112504
9,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,9,2,major,18.000045000112504,rest,,,,,,,,0.25,18.750046875117192
10,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,9,2,major,18.000045000112504,note,A4,A,A,0.0,4,69.0,9.0,0.1875,19.50004875012188
11,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,9,2,major,18.000045000112504,note,A4,A,A,0.0,4,69.0,9.0,0.0625,20.062550156375398
12,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,10,,,,note,D5,D,D,0.0,5,74.0,2.0,0.375,20.25005062512657
13,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,10,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,21.3750534376336
14,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,10,,,,note,D5,D,D,0.0,5,74.0,2.0,0.125,21.750054375135942
15,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.4_-_Das_Standchen,10,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.125,22.125055312638285
