,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,1,1,major,0,note,B4,B,B,0,4,71,11,0.125,0
1,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,2,,,,note,E5,E,E,0,5,76,4,0.375,0.25
2,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,2,,,,note,G#4,G#,G,1,4,68,8,0.125,1.0
3,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,2,,,,note,A4,A,A,0,4,69,9,0.125,1.25
4,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,2,,,,note,B4,B,B,0,4,71,11,0.125,1.5
5,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,3,,,,note,C5,C,C,0,5,72,0,0.25,1.75
6,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,3,,,,note,E4,E,E,0,4,64,4,0.125,2.25
7,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,3,,,,rest,,,,,,,,0.125,2.5
8,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,3,,,,note,E4,E,E,0,4,64,4,0.125,2.75
9,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,3,,,,note,Eb4,Eb,E,-1,4,63,3,0.125,3.0
10,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,4,,,,note,D4,D,D,0,4,62,2,0.25,3.25
11,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,4,,,,note,D5,D,D,0,5,74,2,0.125,3.75
12,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,4,,,,note,C5,C,C,0,5,72,0,0.125,4.0
13,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,4,,,,note,G4,G,G,0,4,67,7,0.125,4.25
14,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,4,,,,note,A4,A,A,0,4,69,9,0.125,4.5
15,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,5,,,,note,B4,B,B,0,4,71,11,0.375,4.75
16,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,5,,,,rest,,,,,,,,0.25,5.5
17,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,5,,,,note,B4,B,B,0,4,71,11,0.125,6.0
18,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,6,,,,note,D5,D,D,0,5,74,2,0.25,6.25
19,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,6,,,,note,D5,D,D,0,5,74,2,0.125,6.75
20,data\scores\Wolf\Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger.mxl,Wolf,Wolf_Hugo_-_Eichendorff-Lieder_No.9_-_Der_Schreckenberger,6,,,,note,D5,D,D,0,5,74,2,0.25,7.0
