,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,0
1,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb5,Bb,B,-1,5,82,10,0.0625,0.125
2,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,0.25
3,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb5,Bb,B,-1,5,82,10,0.0625,0.375
4,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,0.5
5,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb5,Bb,B,-1,5,82,10,0.0625,0.625
6,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,0.75
7,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb5,Bb,B,-1,5,82,10,0.0625,0.875
8,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,1.0
9,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb5,Bb,B,-1,5,82,10,0.0625,1.125
10,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb4,Bb,B,-1,4,70,10,0.0625,1.25
11,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,1,-2,major,0,note,Bb5,Bb,B,-1,5,82,10,0.0625,1.375
12,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,1.5
13,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb5,Bb,B,-1,5,82,10,0.0625,1.625
14,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,1.75
15,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb5,Bb,B,-1,5,82,10,0.0625,1.875
16,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,2.0
17,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb5,Bb,B,-1,5,82,10,0.0625,2.125
18,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,2.25
19,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb5,Bb,B,-1,5,82,10,0.0625,2.375
20,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,2.5
21,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb5,Bb,B,-1,5,82,10,0.0625,2.625
22,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb4,Bb,B,-1,4,70,10,0.0625,2.75
23,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,2,,,,note,Bb5,Bb,B,-1,5,82,10,0.0625,2.875
24,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,3,,,,note,Bb4,Bb,B,-1,4,70,10,0.0,0
25,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,3,,,,note,Bb5,Bb,B,-1,5,82,10,0.25,3.0
26,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,3,,,,rest,,,,,,,,0.25,3.5
27,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,3,,,,rest,,,,,,,,0.25,4.0
28,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,4,,,,note,Bb6,Bb,B,-1,6,94,10,0.25,4.5
29,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,4,,,,note,F6,F,F,0,6,89,5,1.0,4.5
30,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,4,,,,note,D6,D,D,0,6,86,2,1.0,4.5
31,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,4,,,,note,Bb5,Bb,B,-1,5,82,10,1.0,4.5
32,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,4,,,,rest,,,,,,,,0.25,5.0
33,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,4,,,,rest,,,,,,,,0.25,5.5
34,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,5,,,,note,F4,F,F,0,4,65,5,0.75,6.0
35,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,6,,,,note,F4,F,F,0,4,65,5,0.25,7.5
36,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,6,,,,note,G4,G,G,0,4,67,7,0.25,8.0
37,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,6,,,,note,F4,F,F,0,4,65,5,0.25,8.5
38,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,7,,,,rest,,,,,,,,0.25,9.0
39,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,7,,,,note,F5,F,F,0,5,77,5,0.125,9.5
40,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,7,,,,note,E5,E,E,0,5,76,4,0.125,9.75
41,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,7,,,,note,G5,G,G,0,5,79,7,0.125,10.0
42,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,7,,,,note,F5,F,F,0,5,77,5,0.125,10.25
43,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,7,,,,note,Bb4,Bb,B,-1,4,70,10,0.75,9.0
44,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,8,,,,note,D5,D,D,0,5,74,2,0.125,10.5
45,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,8,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,10.75
46,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,8,,,,note,G4,G,G,0,4,67,7,0.125,11.0
47,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,8,,,,note,Bb4,Bb,B,-1,4,70,10,0.125,11.25
48,..\data\scores\Joplin_Scott\augustan.xml,Joplin_Scott,augustan,8,,,,note,F4,F,F,0,4,65,5,0.25,11.5
